entry_id,page,languages,n_languages,n_forms,raw_text
2,142,"Tu.,Te.,Ta.,Ka.,Go.,Kui,Kuwi",7,8,"Cf. 917 Ta. Gru. 2821 Ta, cérai handful, as of rice; cérai, céran-kai, ciraft-kai, cirai-kai quantity that can be held in the hollow of the palm, as a measure, palmful, Ko, der (ol. de-t-) hand- ful (with open hand). To, ter handful. Ka. sare, sére the palm of the hand bent so as to receive or hold anything. Tu. séré id.; titrkai handful. Te. céra the hand held so as to. contain anything; cérédu handful. Go. (Mu.) hera, (Ma.) era mendu double handful (Voc. 3583); (LuS.) héra a handful. Konda séra, strend handful. ? Kui reka id (< *sreka; but sr- is commonly preserved in Kui), Kuwi (S.) rena handful; hereka one haridful. DED(S) 5. 2822 Konda strga brinjal, Kui séje, (K.) heje id. Kuwi (F.S.) heya, (Su. P.) heya id. DED (S) 2304."
3,274,"Ta.,Ma.,Ka.",3,7,"Ta. akkaram a disease of the mouth, thrush, aphthae, parasitic stomatitis; ac- caram thrush; afcaram cracked tongue. Ma. akkiram a disease, aphthae. Ka. agra the thrush. Tu, agra a sore mouth, aphthae, the thrush. Te, (B.} aksaramu disease of the mouth. /Turner, CDIAL, no. 62, *agniruja- disease with burning sensation, H. agri thrush, Mar. 4grif id.; ibid., no. 14198a, gives this etymology for the Dr. forms. DED(S) 22."
4,21,"Skt.,Tu.,Te.,Ta.,Ka.",5,9,"Ta. akatu wickedness. Ka. agadu vicious- ness, savageness, meanness. Te. agadu blame, exposure, fault. DED 5. 5 Ta, akatti, accam, acci West Indian pea- tree, Sesbania grandiflora, Ma, akatti S. grandiflora Rh. Ka, akace, agace, agase, agise tree with large scarlet flowers, S. (or Aeschy- nomene) grandiflora Poir. Tu. agase-mara Agati grandiflora. Te. (B) agise, agisa, avise- cettu a leguminous tree, Coronilla grandiflora or Aeschynomene grandiflora. | Cf. Skt. agasti- Agasti grandiflora. [Sesbania = Aeschynomene = Agati/Agasti = Coronilla.| DED 6."
5,274,"Malt.,Mand.,Pkt.,Skt.,Tu.,Te.,Ta.,Ma.,Ka.,Go.,Kui,Pe.,Kur.",13,21,"Ta. .acciram earnest money, advance given to ratify a bargain (coll.; < Te.). Ma. acciram id. Te, (B.) accaramu id. / Skt. satyamkdra-, *satyakara- id. > Pkt. *saccdara-. From DED 179. 6 Ko, aj footprint. To, oj step. Ka. paije, pejie, hajje, hejje footprint, footstep, trace, stride. Tu. ajé, (B-K. also) hajé footprint, track, trace. Te. ajja foot, footprint; anja id., step, stride. /Turner, CDIAL, no. 7778, padya- footsteps (fem. pl., RV); (lex.) way, path, road; Pali pajja-~ masc. path; Pkt. pajja- fem. flight of steps, road. DED 47, DEN DBIA S17. 7 Pa, endka young male pig. Pe. andren (pl. andray) male, man. Mand. andren (pl. andran) id. Kui andra a male animal or bird; male. Kur. andra male (said only of animals); andya fierce, unmanageable (of bulls, bullocks, and male buffaloes), haughty, overbearing (of men), Malt. andya a bull. /Skt. (ex.) andira- male, Or. andira id. Cf. Turner, CDIAL, no. 1111. DED(S) 111, DEN DBIA 81. 8 Ta, arafiku, arafkam stage, dancing hall, assembly hall, gambling house. Ma, arafiiu a stage, scene, place for public exhibition. Te. ardégu a pial; (B.) arufgu id., terrace, raised a foot from the ground; arugu terrace, taised flat terrace, raised seat. Go. (Ma.) argu verandah (Voc. 78). Konda argu the edge of a verandah. / Skt. rafiga-. DED(S) 166."
6,21,"Te.,Ta.,Ma.,Ka.",4,15,"Ta. akappai, appai ladle, large spoon with long handle, usually of coco-nut shell. Ma. akappa, akappan, appa ladle. Ka. agape, ape, hape scoop or ladle, made of a coco-nut shell or of wood. Te. agapa, abaka ladle, spoon, scoop made of coco-nut shell. DED 7."
7,100,"Tu.,Te.,Ma.,Ka.,Ko.,Kod.,Pa.,Ga.,Kuwi,Br.,Kur.",11,18,"Cf. 1629 Ko. kik, Ka. kukke, and 1644 Tu. kfjelu. DED(S, N) 1481. 1780 7a. kum pustule, blister, any eruptive disease such as smallpox, measles, boil, sore, prickly heat, horripilation; Cpp-, -tt-) to appear, break out (as prickly heat); kuruppu pimple. Ma. kuru pustule, boil, smallpox; kurukka to break out as smallpox; kuruppu smallpox. Ka, kuru, kuruvu a protuberance or excrescence on the body, a boil. Tu. kuri a boil; kumi sore on the eyelid. Te. kurupu a boil, abscess. Nk. kurup pimple. Pa. kur small boil. Ga. (P.) kiir boil. Go, (Ko.) kur- pum id. (Voc. 781); (Koya Su.) kurpu id.; (ASu.) kurkiim pustule, blister, boil. Konda kre a boil. Kuwi (S.) koru id.; (F.) kro (pl. kiyka) bubo; (isr.) kiru a boil. ? Br. kurdra inflamed swelling, esp. in the neck. Cf. 2130 Kur. xor°p (Krishnamurti, Language 39.561). DED(S, N) 1482. 1781 Ta, kuru nut. Ma. kuru kernel, nut, esp. of jackfruit. Kod. kuru seed (esp. of jackfruit); nelli kuru rice with husk, paddy. DED 1483."
9,274,"Pkt.,Skt.,Te.,Ka.,Kui",5,17,"Ka. argala, argala, argale, argare, agga- rike, argarike, agani, agari, aguri bolt or bar to asten a door. Te. argalamu wooden bolt, bar or pin for fastening a door, etc., impediment. obstruction. Kui argoli crossbar, ‘rail. / Turner, CDIAL, no. 629, Skt. argala-, Pkt. aggala-. DED(S) 194."
10,274,"Skt.,Tu.,Te.,Ta.,Ma.,Ka.,To.,Ko.,Kod.",9,20,"Ta. ani nail, small spike, peg, linchpin. Ma. Ani peg, nail. Ko. aeny metal nail, joint of body. To. o-ny nail. Ka. ani nail, ‘Yinch- pin. Kod. aeni nail of metal or wood. Tu. ani peg, nail, wedge, screw. Te. ani nail, pin, linch-pin. / Skt. ani- (RV.) linch-pin, Pali ani- id., bolt, peg. DED 295,"
11,274,"Skt.,Tu.,Ta.,Ma.,Ka.,Kod.",6,14,"Ta. Aayiram the number 1,000. Ma. ayiram, Ko, ca+vrm (obi, ca-vrt-). To, so-fer, (Téwfily dial.) se+fer. Ka. savira, sasir, sisira. Kod. aeixé, (Mercara) aeira. Tu. savira, sara. / Skt. sahdsra-. DED 309."
12,274,"Skt.,Tu.,Te.,Ka.",4,7,"Ka. avi, avige, Ivuge, Ima potter’s kiln. Tu. ave id., oven. Te. Avamu potter’s kiln. / Turner, CDIAL, no. 1202, Skt. @ex.) apaka- baking oven, pottér’s kiln, Mar. ava id. DED (S) 336."
