word,count,n_source_files
फड,322,52
खार्,309,76
इवत,308,9
खाोंडा,241,15
खाांडा,230,46
पोळ,214,53
मधु,181,11
त्वा,171,28
प्र,158,38
करडा,154,58
यथा,152,53
अथ,150,24
कर्णिक,143,11
भरत,133,39
तथा,132,27
सोम,130,42
एव,129,31
कट्ठणिक,129,1
द्र,123,61
तस्य,119,30
मेंढा,118,32
इन्द्र,117,33
कौर्िर्िकुः,115,1
खार,114,43
त्व,114,18
अयस्,113,32
सायणभाष्यम्,112,26
कणा,111,17
अस्य,110,29
कल्प,110,51
तत्,105,22
खरडें,104,50
तत्र,103,26
शब्द,102,57
इदत,102,5
मेढा,99,53
यत्,97,28
ब्राह्मण,93,39
कणर्क,93,25
फडा,90,36
ण्ड,89,23
तव,88,18
मेढ,80,37
वेद,80,23
पोतृ,78,23
इक्षत,78,2
इशत,75,4
ेच्छम्ल,75,9
कारु,75,11
खोंड,73,31
स्त्री,73,29
पोळा,73,23
इति,73,9
अयम्,73,4
ंत्व,68,19
अत्र,67,18
इन्नत,67,1
गोटी,66,29
धावड,66,22
पोलाद,66,27
इमत,66,3
मौजा,63,30
उत,63,22
कौट्ठटट्ठिकः,63,1
खोट,62,37
पोतदार,61,19
भाषा,60,30
वाचस्पत्यम्,60,31
शतपथ,60,25
इदम्,60,6
कत्रणाक,60,2
ांगड,58,16
गोटा,58,35
फटा,58,29
कामठा,57,12
इष्टत,57,2
तम्,56,24
एष,56,15
कात्रणाक,56,2
स्य,55,30
अनि,54,1
यस्य,53,19
ह्मब्र,52,17
ळकरणी,52,17
अण्,51,12
पर,51,17
क्ली,51,22
एवं,51,10
कव,51,3
राजा,50,18
मुर्,50,1
त्वम्,49,22
परर,49,22
कण्ठालः,49,19
मण्डल,48,25
इन्द्रः,48,13
ततः,48,16
परीट,48,7
ंण्ड,48,2
कणिक,47,9
त्र,47,15
सह,47,23
कणी,47,3
पयस्,47,3
मेधा,46,29
सप्त,45,21
ततो,45,13
ऋेग्वदः,45,25
यदा,45,19
मेध्य,45,19
करड,44,16
करडू,44,10
उप,44,16
ष्ट्,44,12
कम्,44,22
कोंद,44,17
एक,44,23
और,44,9
इथत,44,3
धातु,43,21
यास्क,43,22
कोल्हा,43,17
यद्,42,12
धन,42,29
कारखाना,42,13
कर्णक,42,8
एते,42,16
श्रौत,42,13
तद्,42,12
लोके,41,19
यद्वा,41,14
ेश्यन,41,11
फडनीस,41,10
पोलादी,41,20
सदा,41,13
होतृ,41,7
यर्था,41,1
मम,40,17
इव,40,25
ङ्ग,40,16
तेन,40,15
त्वष्टृ,40,14
रूप,40,11
उवाच,40,4
इद्वत,40,1
खरडा,39,28
गार्,39,15
रूपम्,39,13
नाम,39,20
खाुंडा,39,7
वळ,39,7
ब्रा,38,15
गुरव,38,5
कोेंल्ह,38,13
ढाळ,37,14
यत्र,37,16
करण,37,17
त्रि,37,17
ष्टह,37,1
खरडणें,36,21
इत्यमरः,36,20
इस,36,8
यह,36,9
खारन्,36,23
द्वा,36,3
खांडा,35,18
मृदु,35,19
सोमः,35,16
अप,35,14
यज्ञस्य,35,20
पोळी,35,14
इहत,35,7
लोखंड,35,17
श्च,35,16
देशकु,35,13
अच्,34,23
बेर,34,22
दश,34,12
स्यात्,34,10
ाष्ट्,34,5
एर्,34,4
रुद्र,34,9
इदं,34,8
कर,33,15
ठारु,33,16
श्रौ,33,15
देवा,33,13
सवे,33,12
अहन्,33,12
इग्नत,33,2
वकं,33,2
खरारा,32,19
खोोंड,32,5
अग्नि,32,8
कास,32,4
कोळी,32,6
जोशी,32,7
घञ्,31,22
देव,31,17
स्व,31,17
ह्मब्रन्,31,12
रत्न,31,13
मह,31,10
सोनार,31,8
सरमा,31,2
कोंड,30,15
आत्मा,30,11
कोोँद,30,17
अङ्,30,12
पञ्च,30,10
बाय्,30,19
साांगड,30,14
अव,30,12
िर्ावत्तण,30,1
भूतात्तन,30,1
पुरुषि्,30,1
इनत,30,5
रत,30,4
मधुश्च,30,1
वक,30,3
अनु,29,8
प्रजा,29,15
उच्यते,29,13
इमि,29,1
अक्ष,29,9
अश्व,29,8
वत्र,29,5
सांघट्ट,29,14
ांत्व,29,8
अवप,29,6
तदा,29,13
भट,29,9
ङ्गत्रः,29,1
यज्ञ,29,7
गन्धवव,29,1
धम्,29,1
र्िधातुुः,28,1
क्र,28,17
सूत्र,28,14
वान्,28,17
चषाल,28,2
कात्यायन,28,7
तेजोमयि्,28,1
अमृतमयि्,28,1
िवर्म्,28,1
सन्,27,11
सुतार,27,6
पुरुषो,27,3
लोखुंड,27,4
इत्रत,27,7
न्हावी,27,4
दध्यङ्,27,4
काोंबळा,26,8
मेष,26,14
र्व,26,6
कारणी,26,22
कारणीक,26,22
बलुतेदार,26,6
ुल्यट्,26,13
भव,26,11
शारदा,26,3
अयं,26,11
उद्गातृ,26,7
क्ष,26,8
नारूकारू,26,5
ढाल,25,11
आर,25,12
पेढी,25,8
काण्ड,25,13
इत्,25,10
अेग्न,25,7
इमे,25,13
गया,25,7
अिम्,25,3
अप्,25,13
खोदणें,25,6
ष्ट,25,10
अमरः,25,13
लोहार,25,6
तह,25,4
बलुतें,25,4
इण,25,3
जाकड़,24,9
खोंडी,24,14
गतौ,24,16
वाडा,24,9
खलु,24,13
ूर्स,24,1
पशु,24,5
इन्द्रो,24,12
यन्मधु,24,1
करडें,23,9
मेध,23,18
मनसा,23,8
आपो,23,3
नय्,23,16
अश्वस्य,23,8
महार,23,3
येज्ञन,23,12
तर्ा,23,3
दध्यवथशरः,23,1
वत,22,8
उत्,22,15
कारण,22,18
मग,22,12
शत,22,10
ऋग्,22,12
ग्राव,22,7
ठाळ,22,7
अत,22,14
कलौ,22,6
भावे,22,10
रत्नी,22,12
लोहकारकन्या,22,7
बल्,22,19
ेश्यनः,22,4
पूषन्,22,7
रसो,22,4
अलुते,22,5
य्याात्,22,1
ेण्ड,22,3
सरमे,22,2
वदस्तन्त,22,1
चकार,21,12
खरड,21,16
ोंधळा,21,6
खााडा,21,9
