id,lemma,type
2000,நவீனம்,Adjectives
2001,விமானம்,Noun
2002,நிலையம்,Noun
2003,நிலம்,Noun
2004,பாதிப்பு,Noun
2005,வகை,Noun
2006,எடு,Verb
2007,படு,Verb
2008,முதல்வர்,Noun
2009,உறுதியளி,Verb
2010,உள்,Verb
2011,தொடர்பு,Adverb
2012,புதன்கிழமை,Noun
2013,வெளியிடு,Adjectives
2014,அறிக்கை,Noun
2015,நாடு,Noun
2016,போக்குவரத்து,Noun
2017,ஏற்படு,Verb
2018,வரு,Adjectives
2019,வளர்ச்சி,Noun
2020,கருத்து,Noun
2021,கொள்,Verb
2022,முக்கியம்,Adjectives
2023,நகரம்,Noun
2024,விரிவுபடுத்து,Verb
2025,புதிது,Adverb
2026,சர்வதேசம்,Adjectives
2027,அமை,Verb
2028,மத்திய,Adjectives
2029,அரசு,Noun
2030,முடிவு,Noun
2031,செய்,Verb
2032,அதன்படி,Adverb
2033,ஆகு,Adjectives
2034,மேம்படுத்து,Verb
2035,புதிய,Adjectives
2036,திட்டம்,Noun
2037,உருவாகு,Verb
2038,நிறைவேற்று,Verb
2039,ஆந்திரம்,Noun
2040,முந்து,Verb
2041,விடு,Verb
2042,ஆனால்,Adverb
2043,வரிசை,Noun
2044,பொது,Noun
2045,செயலாளர்,Noun
2046,நிறுவனர்,Noun
2047,ஆகியோர்,Noun
2048,போராட்டம்,Adjectives
2049,அறிவிப்பு,Noun
2050,கொண்டுவா,Verb
2051,தொல்பொருள்,Noun
2052,ஆய்வு,Noun
2053,சட்டம்,Noun
2054,மக்கள்,Noun
2055,அடிப்படை,Noun
2056,உரிமை,Noun
2057,பறி,Adjectives
2058,திரும்பு,Verb
2059,பெறு,Verb
2060,வேண்டு,Verb
2061,பொதுச்செயலர்,Noun
2062,கோரிக்கை,Noun
2063,இதுகுறித்து,Adverb
2064,பண்பாடு,Noun
2065,அடையாளம்,Noun
2066,பாதுகா,Verb
2067,துறை,Noun
2068,தனி,Adjectives
2069,இயற்று,Verb
2070,அமைப்பு,Noun
2071,முன்பு,Adverb
2072,பகுதி,Noun
2073,வாழ்,Noun
2074,வா,Verb
2075,அப்படி,Adverb
2076,வாழ்விடம்,Noun
2077,அகற்று,Verb
2078,உள்நாடு,Noun
2079,அகதி,Noun
2080,மாற்று,Adjectives
2081,மத்தி,Noun
2082,ஆளு,Adjectives
2083,கூட்டணி,Noun
2084,ஒரு,Adjectives
2085,உள்ளிடு,Adjectives
2086,மாநிலம்,Noun
2087,மொழி,Noun
2088,ஆங்கிலம்,Noun
2089,அனைத்து,Adjectives
2090,நாளிதழ்,Noun
2091,முழுப்பக்கம்,Adjectives
2092,அளவு,Noun
2093,விளம்பரப்படு,Verb
2094,நினைவு,Noun
2095,சின்னம்,Noun
2096,1000,Numerals
2097,அடி,Noun
2098,கட்டுமானம்,Noun
2099,கட்டு,Verb
2100,அனுமதி,Noun
2101,இல்,Verb
2102,மீறுவோர்,Noun
2103,லட்சம்,Numerals
2104,அபராதம்,Noun
2105,தொகை,Noun
2106,மூன்று,Numerals
2107,ஆண்டு,Noun
2108,சிறை,Noun
2109,தண்டனை,Noun
2110,குடும்பத்தினர்,Noun
2111,எண்ணிக்கை,Noun
2112,பெருகு,Verb
2113,இடம்,Noun
2114,நெருக்கடி,Noun
2115,நிலை,Noun
2116,மூதாதையர்,Noun
2117,வீடு,Noun
2118,விரிவாக்கம்,Noun
2119,கூடுதல்,Adjectives
2120,அறை,Noun
2121,தாழ்வாரம்,Noun
2122,கழிப்பு,Noun
2123,உரிமையாளர்,Noun
2124,சம்பந்தப்பட்ட,Adjectives
2125,அதிகாரி,Noun
2126,தண்டி,Verb
2127,ஏற்கனவே,Adverb
2128,ஆய்வுத்துறை,Noun
2129,இரு,Verb
2130,இடி,Verb
2131,அதிகாரம்,Noun
2132,வழங்கு,Verb
2133,மின்,Noun
2134,இணைப்பு,Noun
2135,இனி,Adverb
2136,மாட்டு,Verb
2137,சுதந்திரம்,Noun
2138,மீன்பிடி,Noun
2139,ஒழுங்குமுறை,Noun
2140,எதிர்,Verb
2141,மீனவ,Noun
2142,கிளர்,Verb
2143,எழு,Verb
2144,போராடு,Verb
2145,உலகம்,Noun
2146,சிறந்த,Adjectives
2147,பட்டியல்,Noun
2148,78,Numerals
2149,கிடை,Verb
2150,அமெரிக்கா,Noun
2151,பத்திரிகை,Noun
2152,சுகாதாரம்,Noun
2153,கல்வி,Noun
2154,பொருளாதாரம்,Noun
2155,அரசியல்,Noun
2156,அம்சம்,Noun
2157,வை,Verb
2158,தொகு,Verb
2159,வெளியாகு,Verb
2160,அண்டை,Adjectives
2161,59,Numerals
2162,66,Numerals
2163,ஆகியவை,Noun
2164,88,Numerals
2165,89,Numerals
2166,பிடு,Verb
2167,ஆசியா,Noun
2168,முதல்,Numerals
2169,20,Numerals
2170,நான்கு,Numerals
