id,n_morphemes,morpheme_ids_ws_joined
,50,5000 5001 1094 5177 5002 5003 5004 5178 5005 5006 4034 4008 5007 5002 4017 5008 5181 4039 2000 2001 2002 4006 4001 4001 1155 2003 5011 5004 4001 5178 2004 1060 2005 5182 4008 2006 4025 4033 2007 5178 1103 2008 4025 5004 5012 5013 5014 2009 4021 1040
,8,2559 2011 5131 2625 2012 2013 4022 2014
,51,2015 1014 2001 4033 2016 4008 2017 4039 2018 5178 2019 5182 4000 4025 2020 4008 2021 5186 4039 2022 2023 5187 4012 4008 1115 2001 2002 5187 4012 4000 2024 4031 1138 2025 5131 2026 2001 2002 5187 4012 4000 2027 4025 4031 1138 2028 2029 2030 2031 4021 4006
,35,2032 5005 4006 5014 5015 5016 5178 5017 5018 5181 4025 5019 5000 5001 2033 4020 2001 2002 5187 4012 4000 2034 2035 2036 5187 4012 2037 4025 4033 1090 2038 4033 2007 4035 4017
,33,2880 4021 4008 1138 2039 4021 4008 1138 5007 5002 4017 5008 5181 4039 2001 2002 5187 4012 4000 2027 4006 2500 4021 4000 2040 5133 2021 5186 4039 2041 4022 4017 4034
,55,2042 1131 2043 5182 4008 5000 5001 1094 2027 4025 1126 1115 5007 5002 4017 5008 5181 4039 2001 2002 4006 4001 2004 2017 5178 2005 5182 4008 5190 5014 5016 4025 2044 5191 2045 5020 5182 5181 5015 5019 5021 5178 4025 2046 5022 5178 5019 5177 2047 2048 2049 4000 2013 4022 1047
,48,2028 2029 2025 5131 4025 2050 4019 1115 2051 2052 5191 2053 2054 4007 2055 2056 4012 4000 4033 2057 4001 5178 2005 5182 4008 2010 5192 5019 5181 3197 4000 2058 4033 2059 2060 5178 1156 5178 5014 5016 4025 2061 5024 5025 2062 2041 4021 1040
,6,2063 2625 2013 4022 1115 2014
,28,2064 4039 2065 5187 4012 4000 4033 2066 4025 2051 2052 4021 2067 2037 4025 4033 1090 2068 5191 2053 5187 4012 2069 4033 1090 2010 5192 4017
,26,2042 1131 2070 2037 4031 4021 5193 4001 2071 1137 2072 5182 4008 2073 5194 4021 4050 4012 1130 2066 4006 2074 5194 4021 4017 4034
,61,2075 4033 2066 4021 2054 4000 2625 4025 5192 4006 2076 5187 4012 1008 2077 4037 2078 4039 2079 4012 1154 2080 5007 4017 5193 2005 5182 4008 2081 5182 4008 2082 5178 5026 5187 5007 4034 5177 5014 5016 4025 2083 2029 2025 5131 2084 2051 2052 5191 2053 4021 4000 4025 2021 5186 4039 2074 4040 2010 5192 4006
,31,2053 1025 4021 5027 5196 2085 4022 2086 2087 4012 4008 1138 1049 2088 4021 4008 1138 2089 2090 4012 4008 1138 2091 2092 4008 2093 4021 5014 2010 5192 4006
