id,heading,series,subseries,set,tablenumber,provenience,year,context,chronology1,n_signs,signs_ws_joined
1,KN Fp(1) 1 + 31 (138),F,p,1,1,,,,LM IIIA2 or LM IIIB,46,de-u-ki-jo-jo 'me-no' di-ka-ta-jo di-we OLE S 1 da-da-re-jo-de OLE S 2 pa-de OLE S 1 pa-si-te-o-i OLE 1 qe-ra-si-ja OLE S 1 a-mi-ni-so pa-si-te-o-i S 1 e-ri-nu OLE V 3 *47-da-de OLE V 1 a-ne-mo i-je-re-ja V 4 vac. to-so OLE 3 S 2 V 2
2,KN Fs 2 (139),F,s,-,2,,,,LM IIIA2 or LM IIIB,22,.A HORD T 1 NI V 3 OLE Z 2 .B sa-na-to-de FAR V 1 VIN V 1 v.↓ ME±RI Z 1
3,KN Fs 3 (-),F,s,-,3,,,,-,16,.A HORD T 1 NI V 3 .B a-*65-ma-na-ke me-na FAR V 1 OLE Z 1
4,KN Fs 4 (139),F,s,-,4,,,,LM IIIA2 or LM IIIB,29,.A HORD T 1 NI V 3 FAR V 2 VIN V 2 .B a-ro-do-ro-o wa-ḳẹ-ta HORD T 1 NI V 3 OLE V 1 v.↓ ME±RI Z 2
5,KN Fp(1) 5 (138),F,p,1,5,,,,LM IIIA2 or LM IIIB,11,di-wi-jo-jo 'me-no' qe-ra-si-ja OLE S 1 pa-si-te-o-i OLE S 1 vac.
6,KN Fp(1) 6 (138),F,p,1,6,,,,LM IIIA2 or LM IIIB,8,ka-ra-e-ri-jo pa-si-te-o-i S 1 qe-ra-si-ja OLE S 1
7,KN Fp(1) 7 (138),F,p,1,7,,,,LM IIIA2 or LM IIIB,6,ka-ra-e-ri-jo 'me-no' di-ka-ta-de OLE S 1̣
8,KN Fs 8 (139),F,s,-,8,,,,LM IIIA2 or LM IIIB,16,.A HORD T 1 NI T 1 .B pa-de FAR V 2 v.↓ ME±RI *211VAS+PO 1
9,KN Fs 9 (139),F,s,-,9,,,,LM IIIA2 or LM IIIB,11,.A ⟦ HORD ⟧ HORD .B ki-to o-ja-de v.↓ Z 1
10,KN Gg 10 (138),G,g,-,10,,,,LM IIIA2 or LM IIIB,7,*209VAS 2 ṭẹ-o ME±RI *209VAS 1 vac.
11,KN Fs 11 (139),F,s,-,11,,,,LM IIIA2 or LM IIIB,26,.A HORD T 1 NI T 1 FAR V 2 VIN V 2 .B qe-sa-ma-qa ta-mi-te-mo HORD T 1 OLE V 1 v.↓ ME±ṚỊ Z 2
12,KN Fs 12 (139),F,s,-,12,,,,LM IIIA2 or LM IIIB,13,.A 1 NI V 3 VIN V 1 .B 2̣ OLE Z 2
13,KN Fp(1) 13 (138),F,p,1,13,,,,LM IIIA2 or LM IIIB,28,ra-pa-to 'me-no' *47-ku-to-de OLE V 1 pi-pi-tu-na V 1 au-ri-mo-de OLE V 4 pa-si-te-o-i S 1 qe-ra-si-ja S 1 a-ne-mo-i-je-re-ja OLE 1 u-ta-no 'a-ne-mo-i-je-re-ja' S 1 Ṿ 3
14,KN Fp(1) 14 + 27 + 28 + frr. (138),F,p,1,14,,,,LM IIIA2 or LM IIIB,17,me-no OLE a-ma-ko-to jo-te-re-pa-to // e-ke-se-si V 1 qe-ra-si-ja S 1 a-mi-ni-so-de pa-si-te-o-i S 2 a-re Ṿ
15,KN Fp(1) 15 (138),F,p,1,15,,1981,,LM IIIA2 or LM IIIB,8,ka-ra-e-ri-jo me-no *56-ti S 2 pa-si-te-o-i S 1
16,KN Fp(1) 16 (138),F,p,1,16,,,,LM IIIA2 or LM IIIB,9,wo-de-wi-jo 'me-no' pa-si-te-o-i S 1 qe-ra-si-jo OLE S 1
