id,description,n_signs,signs_ws_joined
M-1A,unicorn I seal,5,P121 P202 P385 P073 P108
M-3A,unicorn I seal,3,P320 P145 P094
M-4A,unicorn I seal,10,P205 P186 P147 P316 P056 P122 P237 P268 P268 P147
M-5A,unicorn I seal,6,P324 P096 P062 P060 P120 P256
M-6A,unicorn I seal,4,P378 P384 P201 P065
M-7A,unicorn I seal,11,P086 P352 P011 P324 P154 P009 P154 P175 P062 P122 P385
M-8A,unicorn I seal,3,P316 P011 P270
M-9A,unicorn I seal,3,P144 P205 P327
M-10A,unicorn I seal,10,P086 P204 P114 P151 P316 P060 P364 P122 P067 P221
M-12A,unicorn II seal,9,P324 P086 P276 P058 P122 P202 P386 P182 P108
M-13A,unicorn II seal,3,P202 P205 P035
M-14A,unicorn II seal,5,P324 P117 P210 P122 P385
M-15A,unicorn II seal,5,P013 P324 P194 P122 P385
M-16A,unicorn II seal,4,P378 P026 P151 P346
M-17A,unicorn II seal,5,P086 P126 P122 P369 P232
M-18A,unicorn II seal,3,P341 P324 P142
M-19A,unicorn II seal,3,P000 P122 P385
M-20A,unicorn II seal,8,P086 P125 P122 P385 P147 P147 P215 P275
M-21A,unicorn II seal,8,P091 P121 P324 P272 P256 P145 P122 P385
M-22A,unicorn II seal,7,P324 P172 P194 P050 P145 P230 P000
M-23A,unicorn II seal,13,P324 P197 P120 P256 P217 P050 P060 P121 P160 P350 P390 P076 P202
M-24A,unicorn II seal,7,P013 P324 P062 P060 P122 P174 P011
M-25A,unicorn II seal,5,P268 P268 P050 P316 P276
M-26A,unicorn II seal,5,P013 P324 P228 P120 P256
M-27A,unicorn II seal,7,P238 P060 P364 P325 P311 P154 P123
M-28A,unicorn II seal,8,P000 P103 P324 P332 P349 P095 P122 P385
M-29A,unicorn II seal,9,P324 P142 P062 P060 P364 P122 P050 P221 P210
M-30A,unicorn II seal,7,P324 P332 P127 P210 P062 P060 P364
M-31A,unicorn III seal,6,P324 P067 P275 P058 P120 P378
M-32A,unicorn III seal,4,P086 P123 P122 P385
M-33A,unicorn III seal,7,P324 P145 P175 P111 P058 P122 P041
M-34A,unicorn III seal,7,P324 P309 P194 P122 P086 P108 P103
