book,chapter,strophe,verse,n_words,padapatha_words_ws_joined
1,1,1,1,6,agnim īḍe purohitam yajñasya devam ṛtvijam
1,1,1,2,3,hotāram ratna dhātamam
1,1,2,1,6,agniḥ pūrvebhiḥ ṛṣibhiḥ īḍyaḥ nūtanaiḥ uta
1,1,2,2,5,sa devāṁ ā iha vakṣati
1,1,3,1,7,agninā rayim aśnavat poṣam eva dive dive
1,1,3,2,2,yaśasam vīravattamam
1,1,4,1,7,agne yam yajñam adhvaram viśvatas paribhūḥ asi
1,1,4,2,4,saḥ id deveṣu gacchati
1,1,5,1,6,agniḥ hotā kavi kratuḥ satyaḥ citraśravastamaḥ
1,1,5,2,4,devaḥ devebhiḥ ā gamat
1,1,6,1,7,yat aṅga dāśuṣe tvam agne bhadram kariṣyasi
1,1,6,2,5,tava id tat satyam aṅgiraḥ
1,1,7,1,8,upa tvā agne dive dive doṣāvastar dhiyā vayam
1,1,7,2,4,namaḥ bharantaḥ ā imasi
1,1,8,1,5,rājantam adhvarāṇām gopām ṛtasya dīdivim
1,1,8,2,3,vardhamānam sve dame
1,1,9,1,9,sa naḥ pitā iva sūnave agne su upāyanaḥ bhava
1,1,9,2,3,sacasvā naḥ svastaye
1,2,1,1,7,vāyo ā yāhi darśata ime somāḥ araṃkṛtāḥ
1,2,1,2,4,teṣām pāhi śrudhi havam
1,2,2,1,6,vāyo ukthebhiḥ jarante tvām acchā jaritāraḥ
1,2,2,2,4,suta somāḥ ahar vidaḥ
1,2,3,1,6,vāyo tava prapṛñcatī dhenā jigāti dāśuṣe
1,2,3,2,3,urūcī soma pītaye
1,2,4,1,8,indra vāyū ime sutāḥ upa prayobhiḥ ā gatam
1,2,4,2,4,indavaḥ vām uśanti hi
1,2,5,1,7,vāyo indraḥ ca cetathaḥ sutānām vājinī vasū
1,2,5,2,5,tau ā yātam upa dravat
1,2,6,1,8,vāyo indraḥ ca sunvataḥ ā yātam upa niṣkṛtam
1,2,6,2,4,makṣū itthā dhiyā narā
1,2,7,1,7,mitram huve pūta dakṣam varuṇam ca riśādasam
