internal_id,sign_id,numbering_system,description,parpola_id,wells_ids,mahadevan_ids,parpola_allographs,icit_function,corpus_freq,start_rate,end_rate,internal_rate,in_corpus,n_feature_dims
a81f6963-80a7-55de-bf66-2059ce1e0868,P000,parpola_1982,Represents a section of significant damage or lost material,P000,,,V599,,19,0.5789,0.3158,0.1053,True,1
d1b67d84-0641-5cce-9a9f-53a9bf0b95da,P001,parpola_1982,"Person carrying two burdens, ",P001,W151,M012,V144|V143|V385|V539,,71,0.8873,0.0141,0.0986,True,2
13425a26-dee3-5a72-b51b-5cf650bff6ba,P002,parpola_1982,"Person carrying two burdens, small vertical stroke between legs",P002,,M013,V586,,0,0,0,0,False,2
d6653f2f-cdcf-5e3b-9bcc-3d56a380f9f2,P003,parpola_1982,"Person carrying two burdens, triangle or diamond for a head",P003,W159|W160|W161,M011|M014,V244|V320|V341|V465,,6,0.0,0.0,1.0,True,4
d4c15370-551f-5911-8067-ad444f9b9f2d,P004,parpola_1982,"Person carrying two burdens, jar handles for a head",P004,W153|W154|W155|W156|W158,M015,V145|V538,,123,0.8374,0.0,0.1626,True,3
a9084f02-47d4-59fc-b403-1f875dcb0bcc,P005,parpola_1982,"Person carrying two burdens, jar handles for a head. Pitchfork off shoulder",P005,,,V750,,0,0,0,0,False,4
1872dacd-e7bd-5568-b0d2-f24e2dd148b7,P006,parpola_1982,"Two people, each carrying two burdens, carrying a tall hatched triangle between them",P006,W123,M016,V370,,0,0,0,0,False,4
18d57f12-8ddb-506f-8b13-e0b9fde34be6,P007,parpola_1982,Person with flag for a head,P007,W105|W107,M004,V146|V374,,2,0.0,1.0,0.0,True,1
a3d8d298-a07e-5248-9f12-1c544e3ee0da,P008,parpola_1982,Person with two flags for a head,P008,W106,M005,V147,,0,0,0,0,False,0
33454920-e72d-53dc-b111-698ca9fcd809,P009,parpola_1982,Person with three heads,P009,W100,M008,V134|V559,SYL,95,0.0211,0.0316,0.9474,True,1
5d375705-d271-550b-a351-eb42aa22d003,P010,parpola_1982,"Person with three heads, bracketed by right parentheses",P010,W101|W103,M009,V505|V071|V252|V685,,8,0.0,0.125,0.875,True,2
0f814c23-2ac2-51ab-8396-704dc3fa76ce,P011,parpola_1982,Person with round breasts and one raised arm,P011,W140,M017,V097|V534,,84,0.0476,0.4167,0.5357,True,1
77de5520-ff4e-543b-ab2d-15f449041c5d,P012,parpola_1982,Person with an extra raised arm,P012,W098,M007,V268|V743,,1,0.0,0.0,1.0,True,1
60fbcc77-89a4-5b1e-8273-e251deb575b8,P013,parpola_1982,"Person with two arms and two legs, ",P013,W090,M001,V133|V535,,118,0.7712,0.0593,0.1695,True,0
89e80da9-9e82-5560-a536-b8eb09e639f3,P014,parpola_1982,"Person with two arms and two legs, small vertical stroke between legs",P014,W093,M003,V394,,8,0.25,0.0,0.75,True,0
d8945db0-9f7b-517b-85c7-d12931398871,P015,parpola_1982,"Person with two arms and two legs, bracketed by tall vertical lines",P015,W097,M002,V518|V150,,0,0,0,0,False,0
4ec44762-f3e4-5427-9bdf-e0dfc7ef1c61,P016,parpola_1982,Two simple persons standing side by side,P016,W091,M002,V110|V692,,0,0,0,0,False,0
b86d69a0-775b-5a14-8a76-84d79c833f31,P017,parpola_1982,"Person with two arms and two legs, standing on a long horizontal stroke",P017,,M043,V391,,0,0,0,0,False,0
a336a200-1b64-5762-a0f0-525fc81bbabe,P018,parpola_1982,"Person with two arms and two legs, standing on a long horizontal stroke, bracketed by tall vertical strokes",P018,,,V754,,0,0,0,0,False,0
a944c4c7-5d7e-5a63-82d4-c056bc2f9b5d,P019,parpola_1982,"Person with two arms and two legs, small leaf almost like a phallus on right thigh",P019,W137,M040,V148|V786,,0,0,0,0,False,0
f5a1faf8-9f98-5009-9002-3840800b962f,P020,parpola_1982,Person with a half-height caret coming off the right foot,P020,W104,M041,V149|V772,,18,0.0556,0.7778,0.1667,True,0
761a5aea-4be1-5fc9-97a0-d0fd3b350679,P021,parpola_1982,Person standing on two wagon wheels,P021,W118,M042,V741,,0,0,0,0,False,0
037f2a94-595c-5b7c-8485-c2a621546bbb,P022,parpola_1982,Person with pitchfork head across waist,P022,W094,M038,V307,,6,0.8333,0.0,0.1667,True,1
41698602-e553-5365-9cc1-a8dc343d80f9,P023,parpola_1982,Person with short stick,P023,W095,M018,V135|V427,,14,0.0,0.4286,0.5714,True,1
08af00b3-a04c-5659-bb1f-328af5d81631,P024,parpola_1982,Person with large animal leg,P024,W121,M037,V449,,0,0,0,0,False,0
a005fb95-d1ad-57ed-b941-cad3659281e1,P025,parpola_1982,Person holding tree with branches,P025,,M021,V388|V237,,0,0,0,0,False,1
b16ef0f5-d694-53c2-9c5a-9034a56bfde8,P026,parpola_1982,Person with pitchfork,P026,W130,M019,V138|V763,,10,0.2,0.1,0.7,True,1
7065c272-1c51-569e-bdd0-7b891f4db2ca,P027,parpola_1982,"Person with pitchfork, small vertical stroke between feet",P027,W131,M020,V353,,0,0,0,0,False,1
6548e8d6-a29f-57ec-a8bc-194c89ddd47d,P028,parpola_1982,Person with antenna,P028,W133,M023,V336,,0,0,0,0,False,1
33798001-6e65-513f-96cb-bc0dfccdc709,P029,parpola_1982,Person with two antennae,P029,W134,M024,V697,,0,0,0,0,False,1
4f916e08-c2f3-5697-b276-97d6af95185c,P030,parpola_1982,"Person with short stick, several small vertical strokes coming away from stick",P030,W145,,V340|V305,,0,0,0,0,False,2
ea191415-31b7-54f3-8b91-e6ecc07bb10b,P031,parpola_1982,Person with staff,P031,W142,M025,V136|V450,,57,0.0351,0.2632,0.7018,True,0
b00a8445-09e9-5691-85d3-425c8ac0f8b5,P032,parpola_1982,"Person with staff, caged by four small vertical strokes",P032,W144,M026,V570,,2,0.0,1.0,0.0,True,0
3e9e48ad-9455-5a92-b4f8-fe90b4e6161a,P033,parpola_1982,Person with two staves,P033,W143,,V348,,0,0,0,0,False,0
9bace354-4bd2-5c1a-9121-fa76a27f31ab,P034,parpola_1982,"Person with bow and arrow, but no bowstring",P034,W146,M027,V137,,0,0,0,0,False,0
dbf976d6-9e3d-57b0-a3d0-a1099c4473eb,P035,parpola_1982,Person with bow and arrow,P035,W125|W126,M028,V139|V390,,50,0.04,0.3,0.66,True,2
0b16ce9b-c174-5d7d-b57c-0f369160cdc7,P036,parpola_1982,Person with two bows and arrows,P036,W127,M029,V304,,0,0,0,0,False,0
68e68dd7-e5b8-5206-b8a8-2bc1f4d16fd6,P037,parpola_1982,Person with triangular 'pincer',P037,W122,M036,V316|V718,,1,0.0,0.0,1.0,True,0
4d8f733f-f294-5a4c-8543-bb321e88c9ea,P038,parpola_1982,Person with diamond connected to the right,P038,W119,M030,V366,,2,0.0,1.0,0.0,True,1
a23ca6d0-689f-5512-b14f-3b32a3f8b3fe,P039,parpola_1982,"Person with large leaf, dot in leaf",P039,W117,M031,V417,,0,0,0,0,False,0
dfda079a-7acd-5085-9a7e-5a8012625ee5,P040,parpola_1982,Person with U,P040,W110|W111,M032,V140|V096,,11,0.2727,0.0909,0.6364,True,2
cbeb042f-ce74-5318-a700-5514715b4da6,P041,parpola_1982,"Person with U with vertical stroke inserted, stroke has a small dot at the bottom",P041,W112,M034,V141,,3,0.0,1.0,0.0,True,0
09ac759d-1c08-5f6a-9a5a-d6f3a798301d,P042,parpola_1982,Person with cat's paw,P042,W113,M035,V142|V780,,0,0,0,0,False,0
09367f62-67a1-54f5-beee-1adaf066b47d,P043,parpola_1982,Deer facing to the right (see also P303),P043,W340|W341|W342|W343|W344|W345|W347|W348,M050,V288,,6,0.0,0.5,0.5,True,1
e932dee7-bf12-59f1-93c0-eed39756bfaf,P044,parpola_1982,Deer facing to the left,P044,W346,M050,V077,,1,0.0,1.0,0.0,True,0
