registry_sign_id,canonical_label,is_variant,parent_sign_id,mahadevan_id,parpola_id,fuls_id,wells_id,other_source_ids,image_reference,description,topology_features,stroke_features,symmetry_features,composite_parts,notes,confidence,_freq_total,_freq_start,_freq_end,_freq_internal,_start_rate,_end_rate,_internal_rate,_site_dist,_artifact_dist,_top5_left,_top5_right
P000,P000,no,,,P000,,,,pending_visual_confirmation,,,,,,,medium,19,11,6,2,0.5789,0.3158,0.1053,"{""Mohenjo-daro"": 19}","{""unicorn seal"": 19}","[""P122"", ""P230"", ""P001"", ""P181"", ""P332""]","[""P122"", ""P230"", ""P103"", ""P316"", ""P332""]"
P001,P001,no,,M001,P001,,,,pending_visual_confirmation,,,,,,,medium,4,4,0,0,1.0,0.0,0.0,"{""Mohenjo-daro"": 4}","{""unicorn seal"": 4}",[],"[""P000"", ""P108"", ""P309"", ""P048""]"
P003,P003,no,,M003,P003,,,,pending_visual_confirmation,,,,,,,medium,2,0,0,2,0.0,0.0,1.0,"{""Mohenjo-daro"": 2}","{""unicorn seal"": 2}","[""P324""]","[""P122"", ""P050""]"
P004,P004,no,,,P004,,,,pending_visual_confirmation,,,,,,,medium,6,6,0,0,1.0,0.0,0.0,"{""Mohenjo-daro"": 6}","{""unicorn seal"": 6}",[],"[""P123"", ""P124"", ""P188""]"
P007,P007,no,,,P007,,,,pending_visual_confirmation,,,,,,,medium,1,0,1,0,0.0,1.0,0.0,"{""Mohenjo-daro"": 1}","{""unicorn seal"": 1}","[""P122""]",[]
P009,P009,no,,,P009,,,,pending_visual_confirmation,,,,,,,medium,5,0,0,5,0.0,0.0,1.0,"{""Mohenjo-daro"": 5}","{""unicorn seal"": 5}","[""P324"", ""P154""]","[""P154"", ""P230"", ""P194"", ""P288"", ""P092""]"
P010,P010,no,,,P010,,,,pending_visual_confirmation,,,,,,,medium,1,0,0,1,0.0,0.0,1.0,"{""Mohenjo-daro"": 1}","{""unicorn seal"": 1}","[""P324""]","[""P359""]"
P011,P011,no,,,P011,,,,pending_visual_confirmation,,,,,,,medium,10,0,5,5,0.0,0.5,0.5,"{""Mohenjo-daro"": 10}","{""unicorn seal"": 10}","[""P316"", ""P352"", ""P174"", ""P086"", ""P154""]","[""P324"", ""P270"", ""P125"", ""P194"", ""P122""]"
P012,P012,no,,,P012,,,,pending_visual_confirmation,,,,,,,medium,1,0,0,1,0.0,0.0,1.0,"{""Mohenjo-daro"": 1}","{""unicorn seal"": 1}","[""P324""]","[""P062""]"
P013,P013,no,,,P013,,,,pending_visual_confirmation,,,,,,,medium,9,9,0,0,1.0,0.0,0.0,"{""Mohenjo-daro"": 9}","{""unicorn seal"": 9}",[],"[""P324""]"
