TABLES

|  SIGN | SOL | INI | MED | FIN | TOT | SIGN | SOL | INI | MED | FIN | TOT  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  ♿ | 1 | 77 | 137 | 1 | 216 | 1 | 0 | 1 | 87 | 3 | 91  |
|  ♀ | 1 | 3 | 5 | 10 | 19 | 1 | 0 | 4 | 72 | 12 | 88  |
|  ♂ | 2 | 68 | 209 | 0 | 279 | 11 | 0 | 2 | 625 | 22 | 649  |
|  ♀ | 0 | 0 | 2 | 7 | 9 | 11 | 1 | 12 | 16 | 0 | 29  |
|  ♂ | 2 | 1 | 1 | 0 | 4 | 1 | 0 | 1 | 0 | 0 | 1  |
|  ♀ | 0 | 17 | 55 | 1 | 73 | 111 | 7 | 71 | 70 | 3 | 151  |
|  ♂ | 0 | 0 | 2 | 5 | 7 | 11 | 2 | 22 | 6 | 0 | 30  |
|  ♀ | 0 | 40 | 148 | 0 | 188 | 1111 | 1 | 31 | 35 | 3 | 70  |
|  ♂ | 1 | 4 | 0 | 3 | 8 | 11 | 0 | 0 | 2 | 0 | 2  |
|  ♀ | 0 | 0 | 2 | 0 | 2 | 11111 | 1 | 18 | 18 | 1 | 38  |
|  ♂ | 0 | 4 | 8 | 1 | 13 | 111 | 0 | 2 | 1 | 3 | 6  |
|  ♀ | 0 | 10 | 5 | 0 | 15 | 111111 | 0 | 2 | 1 | 0 | 3  |
|  ♂ | 0 | 1 | 1 | 0 | 2 | 111 | 1 | 20 | 17 | 0 | 38  |
|  ♀ | 0 | 1 | 7 | 0 | 8 | 1111111 | 2 | 0 | 3 | 1 | 6  |
|  ♂ | 0 | 1 | 0 | 0 | 1 | (mm) | 0 | 2 | 2 | 0 | 4  |
|  ♀ | 0 | 3 | 1 | 0 | 4 | 111 | 0 | 16 | 54 | 0 | 70  |
|  ♂ | 0 | 0 | 19 | 5 | 24 | (mm) | 0 | 0 | 16 | 1 | 17  |
|  ♀ | 0 | 0 | 1 | 0 | 1 | 111 | 0 | 3 | 4 | 0 | 7  |
|  ♂ | 0 | 1 | 2 | 1 | 4 | 111 | 1 | 0 | 0 | 0 | 1  |
|  ♀ | 0 | 5 | 3 | 0 | 8 | 111 | 0 | 1 | 1 | 0 | 2  |
|  ♂ | 1 | 0 | 0 | 0 | 1 | 111 | 0 | 1 | 0 | 0 | 1  |
|  ♀ | 1 | 67 | 70 | 11 | 149 | 1111 | 1 | 0 | 0 | 0 | 1  |
|  ♂ | 1 | 147 | 199 | 18 | 365 | 111 | 0 | 13 | 0 | 0 | 13  |
|  ♀ | 1 | 0 | 0 | 0 | 1 | 111 | 0 | 2 | 0 | 0 | 2  |
|  ♂ | 1 | 140 | 159 | 14 | 314 | 111 | 0 | 11 | 58 | 1 | 70  |
|  ♀ | 0 | 2 | 0 | 0 | 2 | 111 | 0 | 1 | 0 | 0 | 1  |
|  ♂ | 0 | 0 | 0 | 2 | 2 | 11 | 0 | 0 | 186 | 7 | 193  |
|  ♀ | 0 | 1 | 0 | 0 | 1 | 11 | 0 | 19 | 59 | 0 | 78  |
|  ♂ | 5 | 0 | 1 | 5 | 11 | 11 | 0 | 0 | 17 | 1 | 18  |
|  ♀ | 0 | 2 | 7 | 2 | 11 | 11 | 0 | 1 | 2 | 1 | 4  |
|  ♂ | 0 | 59 | 5 | 0 | 64 | 11 | 7 | 7 | 32 | 4 | 50  |
|  ♀ | 1 | 2 | 13 | 6 | 22 | 11 | 0 | 0 | 8 | 0 | 8  |

(Contd.)
