sign_id,numbering_system,description,wells_ids,mahadevan_ids,parpola_allographs,n_feature_dims,corpus_freq,start_rate,end_rate,internal_rate,in_corpus,source
P000,parpola_1982,Represents a section of significant damage or lost material,,,V599,1,19,0.5789,0.3158,0.1053,True,mayig_features
P001,parpola_1982,"Person carrying two burdens, ",W151,M012,V144|V143|V385|V539,2,71,0.8873,0.0141,0.0986,True,mayig_features
P002,parpola_1982,"Person carrying two burdens, small vertical stroke between legs",,M013,V586,2,0,0,0,0,False,mayig_features
P003,parpola_1982,"Person carrying two burdens, triangle or diamond for a head",W159|W160|W161,M011|M014,V244|V320|V341|V465,4,6,0.0,0.0,1.0,True,mayig_features
P004,parpola_1982,"Person carrying two burdens, jar handles for a head",W153|W154|W155|W156|W158,M015,V145|V538,3,123,0.8374,0.0,0.1626,True,mayig_features
P005,parpola_1982,"Person carrying two burdens, jar handles for a head. Pitchfork off shoulder",,,V750,4,0,0,0,0,False,mayig_features
P006,parpola_1982,"Two people, each carrying two burdens, carrying a tall hatched triangle between them",W123,M016,V370,4,0,0,0,0,False,mayig_features
P007,parpola_1982,Person with flag for a head,W105|W107,M004,V146|V374,1,2,0.0,1.0,0.0,True,mayig_features
P008,parpola_1982,Person with two flags for a head,W106,M005,V147,0,0,0,0,0,False,mayig_features
P009,parpola_1982,Person with three heads,W100,M008,V134|V559,1,95,0.0211,0.0316,0.9474,True,mayig_features
P010,parpola_1982,"Person with three heads, bracketed by right parentheses",W101|W103,M009,V505|V071|V252|V685,2,8,0.0,0.125,0.875,True,mayig_features
P011,parpola_1982,Person with round breasts and one raised arm,W140,M017,V097|V534,1,84,0.0476,0.4167,0.5357,True,mayig_features
P012,parpola_1982,Person with an extra raised arm,W098,M007,V268|V743,1,1,0.0,0.0,1.0,True,mayig_features
P013,parpola_1982,"Person with two arms and two legs, ",W090,M001,V133|V535,0,118,0.7712,0.0593,0.1695,True,mayig_features
P014,parpola_1982,"Person with two arms and two legs, small vertical stroke between legs",W093,M003,V394,0,8,0.25,0.0,0.75,True,mayig_features
P015,parpola_1982,"Person with two arms and two legs, bracketed by tall vertical lines",W097,M002,V518|V150,0,0,0,0,0,False,mayig_features
P016,parpola_1982,Two simple persons standing side by side,W091,M002,V110|V692,0,0,0,0,0,False,mayig_features
P017,parpola_1982,"Person with two arms and two legs, standing on a long horizontal stroke",,M043,V391,0,0,0,0,0,False,mayig_features
P018,parpola_1982,"Person with two arms and two legs, standing on a long horizontal stroke, bracketed by tall vertical strokes",,,V754,0,0,0,0,0,False,mayig_features
P019,parpola_1982,"Person with two arms and two legs, small leaf almost like a phallus on right thigh",W137,M040,V148|V786,0,0,0,0,0,False,mayig_features
P020,parpola_1982,Person with a half-height caret coming off the right foot,W104,M041,V149|V772,0,18,0.0556,0.7778,0.1667,True,mayig_features
P021,parpola_1982,Person standing on two wagon wheels,W118,M042,V741,0,0,0,0,0,False,mayig_features
P022,parpola_1982,Person with pitchfork head across waist,W094,M038,V307,1,6,0.8333,0.0,0.1667,True,mayig_features
P023,parpola_1982,Person with short stick,W095,M018,V135|V427,1,14,0.0,0.4286,0.5714,True,mayig_features
P024,parpola_1982,Person with large animal leg,W121,M037,V449,0,0,0,0,0,False,mayig_features
P025,parpola_1982,Person holding tree with branches,,M021,V388|V237,1,0,0,0,0,False,mayig_features
P026,parpola_1982,Person with pitchfork,W130,M019,V138|V763,1,10,0.2,0.1,0.7,True,mayig_features
P027,parpola_1982,"Person with pitchfork, small vertical stroke between feet",W131,M020,V353,1,0,0,0,0,False,mayig_features
P028,parpola_1982,Person with antenna,W133,M023,V336,1,0,0,0,0,False,mayig_features
P029,parpola_1982,Person with two antennae,W134,M024,V697,1,0,0,0,0,False,mayig_features
P030,parpola_1982,"Person with short stick, several small vertical strokes coming away from stick",W145,,V340|V305,2,0,0,0,0,False,mayig_features
P031,parpola_1982,Person with staff,W142,M025,V136|V450,0,57,0.0351,0.2632,0.7018,True,mayig_features
P032,parpola_1982,"Person with staff, caged by four small vertical strokes",W144,M026,V570,0,2,0.0,1.0,0.0,True,mayig_features
P033,parpola_1982,Person with two staves,W143,,V348,0,0,0,0,0,False,mayig_features
P034,parpola_1982,"Person with bow and arrow, but no bowstring",W146,M027,V137,0,0,0,0,0,False,mayig_features
P035,parpola_1982,Person with bow and arrow,W125|W126,M028,V139|V390,2,50,0.04,0.3,0.66,True,mayig_features
P036,parpola_1982,Person with two bows and arrows,W127,M029,V304,0,0,0,0,0,False,mayig_features
P037,parpola_1982,Person with triangular 'pincer',W122,M036,V316|V718,0,1,0.0,0.0,1.0,True,mayig_features
P038,parpola_1982,Person with diamond connected to the right,W119,M030,V366,1,2,0.0,1.0,0.0,True,mayig_features
P039,parpola_1982,"Person with large leaf, dot in leaf",W117,M031,V417,0,0,0,0,0,False,mayig_features
P040,parpola_1982,Person with U,W110|W111,M032,V140|V096,2,11,0.2727,0.0909,0.6364,True,mayig_features
P041,parpola_1982,"Person with U with vertical stroke inserted, stroke has a small dot at the bottom",W112,M034,V141,0,3,0.0,1.0,0.0,True,mayig_features
P042,parpola_1982,Person with cat's paw,W113,M035,V142|V780,0,0,0,0,0,False,mayig_features
P043,parpola_1982,Deer facing to the right (see also P303),W340|W341|W342|W343|W344|W345|W347|W348,M050,V288,1,6,0.0,0.5,0.5,True,mayig_features
P044,parpola_1982,Deer facing to the left,W346,M050,V077,0,1,0.0,1.0,0.0,True,mayig_features
P045,parpola_1982,Cow's leg with horizontal hatching,W280,M084,V328|V269,1,0,0,0,0,False,mayig_features
P046,parpola_1982,"Cow's leg with horizontal hatching, bracketed by angled vertical lines",W281,M085,V408,1,0,0,0,0,False,mayig_features
P047,parpola_1982,"Vertical line with rounded and hatched decoration at the middle, capped by a caret hat",W517|W518,M398,V323|V264,1,1,0.0,1.0,0.0,True,mayig_features
P048,parpola_1982,"Fish with no arms, caret hat, diagonal hatching throughout",W243,M075,V087,1,11,0.0909,0.2727,0.6364,True,mayig_features
P049,parpola_1982,Fish with no arms and no other decoration,,,V354,0,0,0,0,0,False,mayig_features
P050,parpola_1982,Fish with no other decoration,W220,M059,V177|V517,0,316,0.0538,0.0981,0.8481,True,mayig_features
P051,parpola_1982,Fish with four small vertical strokes around the four corners,W226,M060,V513|V321,0,31,0.6129,0.129,0.2581,True,mayig_features
P052,parpola_1982,"Fish and 'table' with four small vertical strokes around the four corners, 'table' has a small box on top",W944,M061,V546,0,0,0,0,0,False,mayig_features
P053,parpola_1982,"Simple fish inside parentheses, with a small tooth coming off the top right or the right paren",W222,M062,V521,0,17,0.0,0.1176,0.8824,True,mayig_features
P054,parpola_1982,Simple fish and bird inside parentheses,W940,M064,V588|V325,0,3,0.0,0.0,1.0,True,mayig_features
P055,parpola_1982,Simple bird and fish inside parentheses,W942|W943,M064,V558,1,0,0,0,0,False,mayig_features
P056,parpola_1982,Fish with a small vertical stroke in the body,W231,M070,V178|V461,1,69,0.0145,0.2174,0.7681,True,mayig_features
P057,parpola_1982,"Fish with a small vertical stroke in the body, caged by four small vertical strokes",W232,M071,V522|V669,0,0,0,0,0,False,mayig_features
P058,parpola_1982,Fish with a horizontal line through body,W233,M072,V179|V463,1,155,0.0129,0.1871,0.8,True,mayig_features
P059,parpola_1982,"Fish with a horizontal line through body, caged by four small vertical lines",W234,M073,V530|V172,1,0,0,0,0,False,mayig_features
P060,parpola_1982,Fish with a caret shaped hat,W235,M065,V086|V568,0,206,0.0049,0.3641,0.6311,True,mayig_features
P061,parpola_1982,"Fish with a caret shaped hat, caged by four small vertical strokes",W236,M066,V520,0,1,0.0,0.0,1.0,True,mayig_features
P062,parpola_1982,Fish with extra whiskers on cheeks,W240|W242,M067,V180|V236|V541,2,277,0.0036,0.2022,0.7942,True,mayig_features
P063,parpola_1982,"Fish with extra whiskers on cheeks, caged by four small vertical strokes",W241,M068,V512|V120,2,0,0,0,0,False,mayig_features
P064,parpola_1982,Fish with extra legs,W227|W228,M074,V181,1,0,0,0,0,False,mayig_features
P065,parpola_1982,Fish with bird wings and a three feather tail,W244,M083,V183,0,5,0.4,0.4,0.2,True,mayig_features
P066,parpola_1982,Semi-realistic bird with no wings,W264|W266|W268,M076|M077|M078,V188|V531,4,0,0,0,0,False,mayig_features
P067,parpola_1982,Large left and right parentheses surrounding an upward-pointing bird with no wings,W265|W267|W269|W270|W271,M081,V503|V263,4,11,0.1818,0.0,0.8182,True,mayig_features
P068,parpola_1982,Duck in circular pond,W952,M082,V515,0,0,0,0,0,False,mayig_features
P069,parpola_1982,"Semi-realistic bird with no wings, swan's neck pointing backwards",W262,M079,V524,1,0,0,0,0,False,mayig_features
P070,parpola_1982,Upward-pointing bird with wings,W272,M080,V747,0,5,0.0,0.8,0.2,True,mayig_features
P071,parpola_1982,Leftward-pointing bird with vertical tail,W260,M076,V189|V489,0,9,0.0,0.6667,0.3333,True,mayig_features
P072,parpola_1982,Leftward-pointing bird with rooster tail,,,V527,0,0,0,0,0,False,mayig_features
P073,parpola_1982,Unknown asymmetric animal? Perhaps a fish with asymmetric fins and legs?,W255,M051,V184|V460,2,92,0.0109,0.3043,0.6848,True,mayig_features
P074,parpola_1982,Unknown asymmetric animal? Perhaps a fish with asymmetric fins and legs? Attached on left to a tall vertical stroke,W256,M052,V368,2,0,0,0,0,False,mayig_features
P075,parpola_1982,"Leaf with 'pincers' coming off the right, possibly with small stroke legs off top and bottom of leaf",W193|W797|W798,M053,V168|V579,3,4,0.0,0.25,0.75,True,mayig_features
P076,parpola_1982,"Squashed spider, with right two legs slightly more away from the body",W190|W192|W194,M054|M055,V190|V544,3,16,0.0625,0.5625,0.375,True,mayig_features
P077,parpola_1982,"Two stacked leaves, with ladder going up and to the right from the center",W201,M412,V193|V490,1,0,0,0,0,False,mayig_features
P078,parpola_1982,"Two stacked half-leaves (just the right half), with long stroke going up and to the right from the center",W894,M310,V357,1,0,0,0,0,False,mayig_features
P079,parpola_1982,Two stacked leaves,W200,M410,V781,0,0,0,0,0,False,mayig_features
P080,parpola_1982,"Two stacked leaves, connected on left to a tall vertical stroke",W203,M413,V419,0,0,0,0,0,False,mayig_features
P081,parpola_1982,"Serif'd three sided hat, over two small dots connected by a diagonal line",,,V722,0,0,0,0,0,False,mayig_features
P082,parpola_1982,"Two stacked leaves, two inverted caret legs on each leaf, and wings pointing away from each other on each leaf",W205|W206|W207|W208|W209,M057,V195,3,5,0.0,0.0,1.0,True,mayig_features
