yajnadevam_glyph_id,registry_sign_id_yajnadevam,best_parpola_match,match_confidence,match_count,total_alignments,top3_parpola,review_status,method,source
1,Y0001,P121,0.8571,6,7,P121:6 | P139:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
2,Y0002,P122,0.9516,59,62,P122:59 | P145:2 | P372:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
3,Y0003,P123,1.0,10,10,P123:10,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
4,Y0004,P124,1.0,4,4,P124:4,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
5,Y0005,P125,1.0,2,2,P125:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
13,Y0013,P139,1.0,2,2,P139:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
16,Y0016,P126,1.0,6,6,P126:6,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
17,Y0017,P127,1.0,2,2,P127:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
18,Y0018,P128,1.0,2,2,P128:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
31,Y0031,P144,1.0,7,7,P144:7,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
32,Y0032,P145,0.9565,22,23,P145:22 | P122:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
33,Y0033,P147,1.0,10,10,P147:10,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
35,Y0035,P151,1.0,1,1,P151:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
48,Y0048,P136,1.0,1,1,P136:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
55,Y0055,P142,1.0,4,4,P142:4,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
60,Y0060,P120,1.0,17,17,P120:17,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
61,Y0061,P204,1.0,3,3,P204:3,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
65,Y0065,P201,1.0,5,5,P201:5,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
70,Y0070,P114,1.0,1,1,P114:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
72,Y0072,P114,1.0,1,1,P114:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
81,Y0081,P251,1.0,1,1,P251:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
