|  SIGN | SOL | INI | MED | FIN | TOT | SIGN | SOL | INI | MED | FIN | TOT  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  太 | 3 | 12 | 33 | 86 | 134 | 的 | 0 | 0 | 1 | 0 | 1  |
|  出 | 0 | 7 | 14 | 0 | 21 | 的 | 0 | 2 | 0 | 0 | 2  |
|  太 | 0 | 2 | 3 | 1 | 6 | 的 | 0 | 3 | 1 | 0 | 4  |
|  太 | 0 | 1 | 0 | 1 | 2 | 的 | 0 | 0 | 2 | 0 | 2  |
|  太 | 0 | 0 | 0 | 2 | 2 | 的 | 0 | 1 | 0 | 0 | 1  |
|  太 | 0 | 4 | 1 | 0 | 5 | 太 | 1 | 1 | 3 | 1 | 6  |
|  太 | 3 | 3 | 1 | 1 | 8 | 太 | 0 | 0 | 1 | 0 | 1  |
|  太 | 0 | 2 | 103 | 0 | 105 | 太 | 3 | 5 | 2 | 4 | 14  |
|  出 | 0 | 2 | 10 | 0 | 12 | 太 | 0 | 14 | 6 | 0 | 20  |
|  太 | 0 | 0 | 5 | 1 | 6 | 太 | 0 | 1 | 0 | 0 | 1  |
|  太 | 0 | 1 | 1 | 0 | 2 | 太 | 0 | 1 | 1 | 0 | 2  |
|  的 | 1 | 1 | 9 | 69 | 80 | 的 | 2 | 0 | 0 | 0 | 2  |
|  的 | 0 | 0 | 0 | 1 | 1 | 的 | 0 | 3 | 0 | 1 | 4  |
|  的 | 0 | 0 | 2 | 11 | 13 | 的 | 0 | 0 | 0 | 1 | 1  |
|  的 | 3 | 1 | 30 | 92 | 126 | 之 | 1 | 5 | 10 | 0 | 16  |
|  的 | 0 | 1 | 0 | 0 | 1 | 之 | 0 | 74 | 93 | 1 | 168  |
|  象 | 0 | 38 | 49 | 4 | 91 | 象 | 0 | 0 | 2 | 0 | 2  |
|  太 | 0 | 7 | 20 | 0 | 27 | 的 | 0 | 5 | 3 | 0 | 8  |
|  太 | 0 | 0 | 7 | 1 | 8 | 象 | 1 | 25 | 75 | 4 | 105  |
|  太 | 0 | 1 | 0 | 0 | 1 | 象 | 0 | 0 | 0 | 1 | 1  |
|  太 | 0 | 0 | 2 | 0 | 2 | 象 | 0 | 32 | 96 | 2 | 130  |
|  太 | 0 | 1 | 2 | 0 | 3 | 象 | 0 | 9 | 9 | 1 | 19  |
|  太 | 0 | 1 | 0 | 0 | 1 | 象 | 0 | 1 | 3 | 0 | 4  |
|  太 | 0 | 0 | 1 | 1 | 2 | 象 | 0 | 2 | 4 | 2 | 8  |
|  太 | 0 | 10 | 38 | 5 | 53 | 象 | 0 | 2 | 4 | 1 | 7  |
|  太 | 0 | 1 | 0 | 0 | 1 | 象 | 0 | 0 | 7 | 0 | 7  |
|  太 | 0 | 2 | 0 | 0 | 2 | 象 | 18 | 36 | 309 | 18 | 381  |
|  太 | 0 | 17 | 28 | 5 | 50 | 象 | 1 | 2 | 5 | 21 | 29  |
|  太 | 0 | 2 | 0 | 1 | 3 | 象 | 0 | 0 | 1 | 0 | 1  |
|  太 | 0 | 1 | 0 | 1 | 2 | 象 | 0 | 0 | 13 | 0 | 13  |
|  太 | 2 | 0 | 0 | 0 | 2 | 象 | 8 | 0 | 2 | 0 | 10  |
|  太 | 0 | 2 | 8 | 1 | 11 | 象 | 0 | 0 | 2 | 0 | 2  |

(Contd.)
