TABLE 1: FREQUENCY AND POSITIONAL DISTRIBUTION OF SIGNS

|  SIGN | SOL | INI | MED | FIN | TOT | SIGN | SOL | INI | MED | FIN | TOT  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  ∧ | 0 | 2 | 3 | 0 | 5 | Y | 0 | 1 | 1 | 2 | 4  |
|  ∨ | 0 | 0 | 58 | 5 | 63 | Y | 3 | 10 | 109 | 90 | 212  |
|  ∨ | 0 | 1 | 0 | 0 | 1 | ∇ | 0 | 2 | 1 | 2 | 5  |
|  ∨ | 0 | 0 | 2 | 1 | 3 | "Y" | 0 | 1 | 0 | 0 | 1  |
|  ≈ | 0 | 1 | 0 | 0 | 1 | ∇ | 1 | 0 | 0 | 0 | 1  |
|  ∧ | 0 | 2 | 12 | 0 | 14 | ∇ | 0 | 0 | 0 | 1 | 1  |
|  ∧ | 0 | 3 | 31 | 1 | 35 | ∇ | 1 | 1 | 4 | 1 | 7  |
|  ∧ | 0 | 5 | 10 | 0 | 15 | ∇ | 0 | 0 | 0 | 1 | 1  |
|  X | 2 | 3 | 14 | 4 | 23 | ∇ | 1 | 3 | 106 | 130 | 240  |
|  X | 0 | 2 | 0 | 2 | 4 | ∇ | 0 | 1 | 0 | 0 | 1  |
|  X | 1 | 1 | 0 | 13 | 15 | ∇ | 0 | 37 | 92 | 3 | 132  |
|  ≈ | 0 | 0 | 1 | 1 | 2 | ≈ | 0 | 1 | 7 | 0 | 8  |
|  X | 0 | 1 | 2 | 1 | 4 | ≈ | 0 | 24 | 9 | 5 | 38  |
|  X | 0 | 7 | 0 | 0 | 7 | ≈ | 0 | 0 | 7 | 4 | 11  |
|  X | 0 | 2 | 0 | 0 | 2 | ≈ | 1 | 21 | 27 | 5 | 54  |
|  X | 1 | 0 | 0 | 0 | 1 | ≈ | 1 | 0 | 38 | 316 | 355  |
|  ≈ | 0 | 0 | 1 | 0 | 1 | ≈ | 1 | 16 | 2 | 2 | 21  |
|  X | 1 | 2 | 0 | 0 | 3 | ∧ | 0 | 18 | 17 | 0 | 35  |
|  ≈ | 0 | 1 | 0 | 0 | 1 | "A" | 0 | 1 | 0 | 0 | 1  |
|  ∩ | 0 | 0 | 1 | 0 | 1 | ∅ | 0 | 2 | 35 | 7 | 44  |
|  ≈ | 2 | 5 | 65 | 20 | 92 | ∅ | 0 | 1 | 1 | 0 | 2  |
|  ≈ | 0 | 51 | 11 | 1 | 63 | ≈ | 0 | 15 | 25 | 3 | 43  |
|  ≈ | 0 | 1 | 0 | 0 | 1 | ≈ | 0 | 1 | 10 | 0 | 11  |
|  ≈ | 0 | 1 | 0 | 0 | 1 | ≈ | 2 | 1 | 3 | 0 | 6  |
|  ↑ | 0 | 9 | 16 | 1 | 26 | ≈ | 0 | 0 | 1 | 0 | 1  |
|  ↑ | 0 | 1 | 0 | 0 | 1 | ≈ | 0 | 15 | 15 | 3 | 33  |
|  ↑ | 0 | 5 | 44 | 0 | 49 | ≈ | 0 | 0 | 3 | 0 | 3  |
|  ∩ | 0 | 0 | 0 | 1 | 1 | ≈ | 0 | 1 | 2 | 0 | 3  |
|  ↑ | 0 | 0 | 1 | 0 | 1 | ≈ | 0 | 0 | 4 | 0 | 4  |
|  Y | 1 | 0 | 3 | 0 | 4 | ≈ | 0 | 1 | 5 | 16 | 22  |
|  Y | 0 | 1 | 1 | 0 | 2 | ≈ | 0 | 1 | 0 | 0 | 1  |
|  Y | 0 | 2 | 4 | 0 | 6 | ≈ | 0 | 2 | 19 | 0 | 21  |

(Contd.)

719
