TABLES

|  SIGN | SOL | INI | MED | FIN | TOT | SIGN | SOL | INI | MED | FIN | TOT  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  ↓ | 0 | 2 | 23 | 0 | 25 | ↓ | 0 | 1 | 3 | 0 | 4  |
|  ↓ | 0 | 3 | 53 | 2 | 58 | ↓ | 0 | 3 | 8 | 0 | 11  |
|  ↓ | 0 | 1 | 3 | 0 | 4 | ↓ | 0 | 0 | 1 | 0 | 1  |
|  ↓ | 0 | 1 | 0 | 0 | 1 | ↓ | 0 | 2 | 3 | 0 | 5  |
|  ↓ | 1 | 22 | 36 | 1 | 60 | ↓ | 0 | 1 | 4 | 0 | 5  |
|  ↓ | 0 | 2 | 2 | 0 | 4 | ↓ | 0 | 3 | 45 | 6 | 54  |
|  ↓ | 0 | 2 | 0 | 0 | 2 | ↓ | 0 | 0 | 0 | 1 | 1  |
|  ↓ | 0 | 1 | 0 | 0 | 1 | ↓ | 0 | 0 | 0 | 1 | 1  |
|  ↓ | 0 | 7 | 2 | 0 | 9 | ↓ | 0 | 5 | 22 | 2 | 29  |
|  ↓ | 0 | 5 | 3 | 1 | 9 | ↓ | 0 | 5 | 2 | 0 | 7  |
|  ↓ | 0 | 2 | 0 | 0 | 2 | ↓ | 1 | 0 | 0 | 0 | 1  |
|  ↓ | 0 | 50 | 25 | 1 | 76 | ↓ | 0 | 0 | 1 | 0 | 1  |
|  ↓ | 0 | 18 | 8 | 0 | 26 | ↓ | 0 | 2 | 6 | 0 | 8  |
|  ↓ | 0 | 0 | 5 | 2 | 7 | ↓ | 0 | 4 | 0 | 0 | 4  |
|  ↓ | 0 | 0 | 0 | 1 | 1 | ↓ | 0 | 1 | 0 | 0 | 1  |
|  ↓ | 0 | 1 | 0 | 0 | 1 | ↓ | 0 | 1 | 2 | 0 | 3  |
|  ↓ | 0 | 1 | 23 | 0 | 24 | ↓ | 0 | 1 | 0 | 0 | 1  |
|  ↓ | 0 | 17 | 4 | 1 | 22 | ↓ | 9 | 3 | 0 | 14 | 26  |
|  ↓ | 1 | 0 | 42 | 184 | 227 | ↓ | 0 | 1 | 0 | 0 | 1  |
|  ↓ | 0 | 2 | 3 | 1 | 6 | ↓ | 0 | 26 | 63 | 0 | 89  |
|  ↓ | 1 | 0 | 1 | 0 | 2 | ↓ | 0 | 28 | 136 | 43 | 207  |
|  ↓ | 4 | 5 | 6 | 1 | 16 | ↓ | 0 | 1 | 0 | 0 | 1  |
|  ↓ | 0 | 10 | 0 | 0 | 10 | ↓ | 0 | 1 | 7 | 0 | 8  |
|  ↓ | 2 | 36 | 49 | 3 | 90 | ↓ | 0 | 1 | 0 | 0 | 1  |
|  ↓ | 0 | 4 | 6 | 0 | 10 | ↓ | 1 | 35 | 128 | 6 | 170  |
|  ↓ | 0 | 1 | 0 | 0 | 1 | ↓ | 1 | 3 | 5 | 4 | 13  |
|  ↓ | 2 | 5 | 4 | 0 | 11 | ↓ | 0 | 0 | 1 | 0 | 1  |
|  ↓ | 0 | 0 | 1 | 0 | 1 | ↓ | 0 | 2 | 33 | 16 | 51  |
|  ↓ | 0 | 4 | 0 | 0 | 4 | ↓ | 0 | 10 | 9 | 2 | 21  |
|  ↓ | 0 | 2 | 20 | 0 | 22 | ↓ | 0 | 3 | 9 | 61 | 73  |
|  ↓ | 0 | 2 | 3 | 1 | 6 | ↓ | 0 | 1 | 0 | 0 | 1  |
|  ↓ | 2 | 1 | 2 | 9 | 14 | ↓ | 0 | 1 | 3 | 0 | 4  |

(Contd.)
