TABLE I: FREQUENCY AND POSITIONAL DISTRIBUTION OF SIGNS

|  SIGN | SOL | INI | MED | FIN | TOT | SIGN | SOL | INI | MED | FIN | TOT  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  ↓ | 0 | 0 | 2 | 0 | 2 | ↓ | 0 | 2 | 3 | 0 | 5  |
|  ↓ | 0 | 12 | 8 | 0 | 20 | ↓ | 0 | 2 | 1 | 0 | 3  |
|  ↓ | 0 | 0 | 3 | 0 | 3 | ↓ | 0 | 1 | 0 | 0 | 1  |
|  ↓ | 0 | 0 | 1 | 0 | 1 | ↓ | 0 | 6 | 2 | 0 | 8  |
|  ↓ | 0 | 9 | 14 | 4 | 27 | ↓ | 0 | 72 | 61 | 3 | 136  |
|  ↓ | 0 | 0 | 0 | 1 | 1 | ↓ | 0 | 4 | 49 | 0 | 53  |
|  ↓ | 0 | 6 | 1 | 0 | 7 | ↓ | 0 | 9 | 0 | 0 | 9  |
|  ↓ | 0 | 10 | 1 | 0 | 11 | ↓ | 0 | 4 | 31 | 0 | 35  |
|  ↓ | 0 | 1 | 0 | 0 | 1 | ↓ | 0 | 1 | 4 | 1 | 6  |
|  ↓ | 1 | 0 | 0 | 0 | 1 | ↓ | 0 | 2 | 2 | 0 | 4  |
|  ↓ | 1 | 298 | 62 | 15 | 376 | ↓ | 0 | 0 | 1 | 0 | 1  |
|  ↓ | 0 | 0 | 4 | 0 | 4 | ↓ | 0 | 1 | 0 | 0 | 1  |
|  ↓ | 1 | 0 | 0 | 0 | 1 | ↓ | 0 | 4 | 9 | 0 | 13  |
|  ↓ | 0 | 1 | 0 | 0 | 1 | ↓ | 0 | 2 | 9 | 2 | 13  |
|  ↓ | 0 | 1 | 0 | 0 | 1 | ↓ | 0 | 3 | 6 | 2 | 11  |
|  ↓ | 0 | 1 | 0 | 2 | 3 | ↓ | 0 | 0 | 11 | 0 | 11  |
|  ↓ | 0 | 0 | 1 | 0 | 1 | ↓ | 0 | 3 | 0 | 0 | 3  |
|  ↓ | 0 | 0 | 0 | 1 | 1 | ↓ | 0 | 1 | 0 | 0 | 1  |
|  ↓ | 0 | 0 | 0 | 5 | 5 | ↓ | 1 | 15 | 36 | 17 | 69  |
|  ↓ | 0 | 1 | 0 | 1 | 2 | ↓ | 0 | 0 | 1 | 0 | 1  |
|  ↓ | 0 | 0 | 4 | 7 | 11 | ↓ | 0 | 0 | 2 | 0 | 2  |
|  ↓ | 0 | 1 | 0 | 1 | 2 | ↓ | 0 | 0 | 1 | 0 | 1  |
|  ↓ | 0 | 0 | 1 | 0 | 1 | ↓ | 0 | 3 | 0 | 0 | 3  |
|  ↓ | 0 | 1 | 0 | 1 | 2 | ↓ | 0 | 1 | 0 | 1 | 2  |
|  ↓ | 0 | 1 | 0 | 0 | 1 | ↓ | 1 | 1 | 0 | 0 | 2  |
|  ↓ | 0 | 0 | 0 | 3 | 3 | ↓ | 0 | 0 | 1 | 0 | 1  |
|  ↓ | 0 | 1 | 0 | 3 | 4 | ↓ | 0 | 0 | 0 | 1 | 1  |
|  ↓ | 0 | 18 | 11 | 12 | 41 | ↓ | 0 | 0 | 0 | 1 | 1  |
|  ↓ | 0 | 1 | 0 | 0 | 1 | ↓ | 0 | 1 | 0 | 0 | 1  |
|  ↓ | 0 | 13 | 2 | 0 | 15 | ↓ | 0 | 0 | 0 | 1 | 1  |
|  ↓ | 0 | 17 | 69 | 2 | 88 | ↓ | 0 | 6 | 12 | 9 | 27  |
|  ↓ | 0 | 0 | 1 | 0 | 1 | ↓ | 0 | 1 | 0 | 0 | 1  |

(Contd.)
