formula_id,sign_sequence,n_gram_size,proposed_reading,inscription_count,site_count,site_distribution,dominant_grammar_pattern,evidence_tier,caveats,is_failure_case
F001,740 740,2,?740 + ?740,412,1,unknown(412),MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM,MEDIUM,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 37%),True
F002,740 740 740,3,?740 + ?740 + ?740,396,1,unknown(396),MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM,MEDIUM,3/3 signs lack anchor readings; inconsistent grammar patterns (top pattern only 38%),True
F003,740 740 740 740,4,?740 + ?740 + ?740 + ?740,383,1,unknown(383),MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM,MEDIUM,4/4 signs lack anchor readings; inconsistent grammar patterns (top pattern only 38%),True
F004,000 000,2,?000 + ?000,330,19,"Harappa(129), Mohenjo-daro(96), Lothal(34), Dholavira(27), Kalibangan(17)",???,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 14%),True
F005,M002 M385,2,?M002 + ?M385,322,14,"Mohenjo-daro(176), Harappa(74), Lothal(25), Dholavira(15), Chanhu-daro(11)",MMMIM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 10%),True
F006,700 700,2,?700 + ?700,310,1,unknown(310),MMMMMMMMMMMMMMMMMMMMMMMM,MEDIUM,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 15%),True
F007,700 700 700,3,?700 + ?700 + ?700,277,1,unknown(277),MMMMMMMMMMMMMMMMMMMMMMMM,MEDIUM,3/3 signs lack anchor readings; inconsistent grammar patterns (top pattern only 16%),True
F008,700 700 700 700,4,?700 + ?700 + ?700 + ?700,250,1,unknown(250),MMMMMMMMMMMMMMMMMMMMMMMM,MEDIUM,4/4 signs lack anchor readings; inconsistent grammar patterns (top pattern only 17%),True
F009,M098 M324,2,?M098 + ?M324,245,7,"Harappa(213), Mohenjo-daro(21), Kalibangan(7), Ganweriwala(1), Dholavira(1)",TMM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 25%),True
F010,M324 M332,2,?M324 + ?M332,164,10,"Mohenjo-daro(100), Harappa(45), Dholavira(7), Lothal(5), Kalibangan(2)",MMMM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 20%),True
F011,M310 M033,2,?M310 + ?M033,150,3,"Harappa(148), Mohenjo-daro(1), Rajanpur(1)",MI,HIGH,2/2 signs lack anchor readings,True
F012,M033 M316,2,?M033 + ?M316,148,7,"Mohenjo-daro(101), Harappa(36), Dholavira(4), Chanhu-daro(3), Lothal(2)",MMMMIMI,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 9%),True
F013,520 520,2,?520 + ?520,145,1,unknown(145),I?IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,MEDIUM,2/2 signs lack anchor readings,True
