id,site,signs,pdr_reading,sanskrit,translation_yaj,coverage
1.1,Alamgirpur,M410 M017,kur-kai,hara,O Destroyer[MBh],1.0
2.1,Alamgirpur,M410 M017,kur-kai,ref:1.1,,1.0
3.1,Alamgirpur,M086 M017,oru-kai,ref:1.1,,1.0
5.1,Allahdino,M324 M060,kur-kāṇṭāmirukam,amam,The powerful one[RV; =prāṇa Chandogya Up. 5.2.6];,1.0
6.1,Allahdino,M324 M086 M276,kur-oru-kur,varan,O one who covers[√वृ शतृ ; SR: uṣṇīṣin],1.0
7.1,Allahdino,M202 M086 M035 M033,can-oru-po-puli,jaqa-arRaH,motionless[Ragh] waters[RV][AVś 11.8.34: apsu stīmāsu],1.0
8.1,Allahdino,M324 M172 M033 M316 M060,kur-kur-puli-kur-kāṇṭāmirukam,ama aYjAna,O mighty[RV] anointer[√अञ्ज् चानश्][SR: bhiṣak],1.0
9.1,Allahdino,M324 M017 M495 M060 M325 M066,kur-kai-iṭ-kāṇṭāmirukam-kur-cōḻ,gaRa-ama-Ahan,O killer[RV] commanding the might[RV] of the gaṇas[RV],1.0
10.1,Allahdino,M004 M215 M510,kēḷ-kur-um,udaya,O Rising Sun[ŚBr; Sri Rudram: aruṇa avasarpa],1.0
11.1,Allahdino,M072 M170 M324 M349 M013,mā-kur-kur-kur-nakaram,tad anna-A-dAH,That food[RV] giver[RV][AV 19.55; SR:andhasaspati],1.0
16.1,Altyn Depe,M086 M092,oru-elu,tara,O Śiva[=Transcender;MBh],1.0
17.1,Amri,M086 M034,oru-tōḷ,cara,O Wanderer[=Śiva;RV:√चर् अच्],1.0
18.1,Bakkar Buthi,M086 M352 M032 M349 M002 M385,oru-tu-koL-kur-kuṉ-kur,rava dasa-dara,"O Roarer[√रु अच्], O cleaver[RV] of Dasa[RV:6.21.11 1.53.4]",1.0
19.1,Bala-kot,M051 M003 M002 M297 M091 M035 M099,pū/puḷ-kalam-kuṉ-kur-aru-po-kol/koḷ,idDa-acala-vaja-namana,Saluting the one with the might[√वज् अच्] glowing[RV] mountains[Pañc][=Rudra RV 10.180.2],1.0
20.1,Bala-kot,M086 M320 M061 M002 M202 M634,oru-kur-ka-kuṉ-can-kaṇ,tanvat-Dara,O holder[MBh] of the drawn (bow)[RV; √तन् शतृ][SR: sudhanvā],1.0
22.1,Bala-kot,M301 M554 M298 M202 M634,kur-il-kur-can-kaṇ,tana-lAsam,Roarer's[RV] dance[Rt],1.0
23.1,Bala-kot,M324 M230,kur-kur,Ahan,O Slayer[आ-√हन् क्विप्],1.0
24.1,Bala-kot,M092,elu,taH,O thrower[R],1.0
26.1,Banawali,M217 M001,kur-tōḷ,Ana,O breath[TS][=prāṇa/Rudra Praśna Up. 2.9 प्राण रुद्रोऽसि],1.0
27.1,Banawali,M090 M324 M050 M002 M202 M230 M821,aintu-kur-pār-kuṉ-can-kur-uḷ,rarAsa nava-mAna,May I relish[√रस् लिट् 1s] O praised[√नु अच्] honored one[MBh],1.0
28.1,Banawali,M050 M014,pār-tiru,Sama,O Tranquil one[MBh],1.0
29.1,Banawali,M324 M797,kur-ē,ref:23.1,,1.0
30.1,Banawali,M002 M385,kuṉ-kur,rava,O Roarer[√रु अच्],1.0
31.1,Banawali,M002 M385,kuṉ-kur,ref:30.1,,1.0
32.1,Banawali,M324 M061,kur-ka,tana,O Roarer[√तन् अच्],1.0
33.1,Banawali,M086 M004,oru-kēḷ,ref:17.1,,1.0
34.1,Banawali,M007,aaL,saH,O killer[=Rudra; √शस्],1.0
35.1,Banawali,M411,kur,ra,O generous one[śiś],1.0
36.1,Banawali,M002 M385,kuṉ-kur,ref:30.1,,1.0
37.1,Banawali,M051 M002 M308 M072,pū/puḷ-kuṉ-kur-mā,sa-lava-nAman,Salava's[MBh] sign[RV](sa-lava = with cutting one = Rudra),1.0
39.1,Banawali,M324 M364,kur-kur,han,O Killer[RV],1.0
40.1,Banawali,M426 M003 M060 M256,vāṉ-kalam-kāṇṭāmirukam-kur,kam jaya,O excellent[RV] victor[√जि अच्],1.0
44.1,Banawali,M103 M308 M091,kol-kur-aru,calataH,Of the Wanderer[√चल् शतृ ims.],1.0
45.1,Banawali,M748,kol,ref:26.1,,1.0
47.1,Banawali,M234,al,namana,saluting[MārkP],1.0
