id,corpus,site,region,period,material,type,signs_str,sign_count,pdr_reading,grammar_pattern,n_translated,n_unknown,coverage,sanskrit,translation_yaj
H-0001,holdat,,,,,,047 820 820 820 820,5,min/mīn-kaṇ-kaṇ-kaṇ-kaṇ,ITTTT,5,0,1.0,,
H-0002,holdat,,,,,,820 520 034,3,kaṇ-kō-tōḷ,TII,3,0,1.0,,
H-0003,holdat,,,,,,820 820 820 820 820 820,6,kaṇ-kaṇ-kaṇ-kaṇ-kaṇ-kaṇ,TTTTTT,6,0,1.0,,
H-0004,holdat,,,,,,820 820 820 820 820 820,6,kaṇ-kaṇ-kaṇ-kaṇ-kaṇ-kaṇ,TTTTTT,6,0,1.0,,
H-0005,holdat,,,,,,820 307,2,kaṇ-kur,TM,2,0,1.0,,
H-0006,holdat,,,,,,820 820 820 820 820 820,6,kaṇ-kaṇ-kaṇ-kaṇ-kaṇ-kaṇ,TTTTTT,6,0,1.0,,
H-0007,holdat,,,,,,820 820,2,kaṇ-kaṇ,TT,2,0,1.0,,
H-0008,holdat,,,,,,820 820 820 820 820 820,6,kaṇ-kaṇ-kaṇ-kaṇ-kaṇ-kaṇ,TTTTTT,6,0,1.0,,
H-0009,holdat,,,,,,820 820 820 820,4,kaṇ-kaṇ-kaṇ-kaṇ,TTTT,4,0,1.0,,
H-0010,holdat,,,,,,820 820 820 820 820,5,kaṇ-kaṇ-kaṇ-kaṇ-kaṇ,TTTTT,5,0,1.0,,
H-0011,holdat,,,,,,820 820 820 820 820,5,kaṇ-kaṇ-kaṇ-kaṇ-kaṇ,TTTTT,5,0,1.0,,
H-0012,holdat,,,,,,820 820 820,3,kaṇ-kaṇ-kaṇ,TTT,3,0,1.0,,
H-0013,holdat,,,,,,820 461 820 820 820,5,kaṇ-[461]-kaṇ-kaṇ-kaṇ,T?TTT,4,1,0.8,,
H-0014,holdat,,,,,,820 820 820,3,kaṇ-kaṇ-kaṇ,TTT,3,0,1.0,,
H-0015,holdat,,,,,,820 820 820 820 820,5,kaṇ-kaṇ-kaṇ-kaṇ-kaṇ,TTTTT,5,0,1.0,,
H-0016,holdat,,,,,,820 820 820 820 820 820,6,kaṇ-kaṇ-kaṇ-kaṇ-kaṇ-kaṇ,TTTTTT,6,0,1.0,,
H-0017,holdat,,,,,,820,1,kaṇ,SOLO,1,0,1.0,,
H-0018,holdat,,,,,,820 820 820,3,kaṇ-kaṇ-kaṇ,TTT,3,0,1.0,,
H-0019,holdat,,,,,,820 820 461 820 820 820,6,kaṇ-kaṇ-[461]-kaṇ-kaṇ-kaṇ,TT?TTT,5,1,0.833,,
H-0020,holdat,,,,,,820 820 820 820 820 820,6,kaṇ-kaṇ-kaṇ-kaṇ-kaṇ-kaṇ,TTTTTT,6,0,1.0,,
H-0021,holdat,,,,,,820 820 461,3,kaṇ-kaṇ-[461],TT?,2,1,0.667,,
H-0022,holdat,,,,,,820 820 820 820 820 820,6,kaṇ-kaṇ-kaṇ-kaṇ-kaṇ-kaṇ,TTTTTT,6,0,1.0,,
H-0023,holdat,,,,,,820 820 820 820 820,5,kaṇ-kaṇ-kaṇ-kaṇ-kaṇ,TTTTT,5,0,1.0,,
H-0024,holdat,,,,,,820 820,2,kaṇ-kaṇ,TT,2,0,1.0,,
H-0025,holdat,,,,,,820 820 820 820 820,5,kaṇ-kaṇ-kaṇ-kaṇ-kaṇ,TTTTT,5,0,1.0,,
H-0026,holdat,,,,,,820 820 820 820 820 820,6,kaṇ-kaṇ-kaṇ-kaṇ-kaṇ-kaṇ,TTTTTT,6,0,1.0,,
H-0027,holdat,,,,,,820 820 820,3,kaṇ-kaṇ-kaṇ,TTT,3,0,1.0,,
H-0028,holdat,,,,,,820 820 820,3,kaṇ-kaṇ-kaṇ,TTT,3,0,1.0,,
H-0029,holdat,,,,,,820 820 820,3,kaṇ-kaṇ-kaṇ,TTT,3,0,1.0,,
H-0030,holdat,,,,,,790,1,erumai,SOLO,1,0,1.0,,
H-0031,holdat,,,,,,256 256 256 256 256,5,kur-kur-kur-kur-kur,MMMMM,5,0,1.0,,
H-0032,holdat,,,,,,256,1,kur,SOLO,1,0,1.0,,
H-0033,holdat,,,,,,455,1,zi,SOLO,1,0,1.0,,
H-0034,holdat,,,,,,256,1,kur,SOLO,1,0,1.0,,
H-0035,holdat,,,,,,256,1,kur,SOLO,1,0,1.0,,
H-0036,holdat,,,,,,455,1,zi,SOLO,1,0,1.0,,
H-0037,holdat,,,,,,256,1,kur,SOLO,1,0,1.0,,
H-0038,holdat,,,,,,256 256 256 256 256,5,kur-kur-kur-kur-kur,MMMMM,5,0,1.0,,
H-0039,holdat,,,,,,256 256 256 256,4,kur-kur-kur-kur,MMMM,4,0,1.0,,
H-0040,holdat,,,,,,256,1,kur,SOLO,1,0,1.0,,
H-0041,holdat,,,,,,256,1,kur,SOLO,1,0,1.0,,
H-0042,holdat,,,,,,256,1,kur,SOLO,1,0,1.0,,
H-0043,holdat,,,,,,790,1,erumai,SOLO,1,0,1.0,,
H-0044,holdat,,,,,,455,1,zi,SOLO,1,0,1.0,,
H-0045,holdat,,,,,,256,1,kur,SOLO,1,0,1.0,,
H-0046,holdat,,,,,,256,1,kur,SOLO,1,0,1.0,,
H-0047,holdat,,,,,,256,1,kur,SOLO,1,0,1.0,,
H-0048,holdat,,,,,,256 256,2,kur-kur,MM,2,0,1.0,,
H-0049,holdat,,,,,,872 872 872,3,[872]-[872]-[872],???,0,3,0.0,,
H-0050,holdat,,,,,,872,1,[872],SOLO,0,1,0.0,,
H-0051,holdat,,,,,,503,1,am,SOLO,1,0,1.0,,
H-0052,holdat,,,,,,872,1,[872],SOLO,0,1,0.0,,
H-0053,holdat,,,,,,872,1,[872],SOLO,0,1,0.0,,
H-0054,holdat,,,,,,872 872 872 872,4,[872]-[872]-[872]-[872],????,0,4,0.0,,
H-0055,holdat,,,,,,872 872 872 872,4,[872]-[872]-[872]-[872],????,0,4,0.0,,
H-0056,holdat,,,,,,872 872,2,[872]-[872],??,0,2,0.0,,
H-0057,holdat,,,,,,872 872,2,[872]-[872],??,0,2,0.0,,
H-0058,holdat,,,,,,872 872 872,3,[872]-[872]-[872],???,0,3,0.0,,
H-0059,holdat,,,,,,503 872,2,am-[872],T?,1,1,0.5,,
H-0060,holdat,,,,,,503,1,am,SOLO,1,0,1.0,,
H-0061,holdat,,,,,,872,1,[872],SOLO,0,1,0.0,,
H-0062,holdat,,,,,,872,1,[872],SOLO,0,1,0.0,,
H-0063,holdat,,,,,,503,1,am,SOLO,1,0,1.0,,
H-0064,holdat,,,,,,503,1,am,SOLO,1,0,1.0,,
H-0065,holdat,,,,,,872 872 872,3,[872]-[872]-[872],???,0,3,0.0,,
H-0066,holdat,,,,,,872,1,[872],SOLO,0,1,0.0,,
H-0067,holdat,,,,,,503 872,2,am-[872],T?,1,1,0.5,,
H-0068,holdat,,,,,,872 872,2,[872]-[872],??,0,2,0.0,,
H-0069,holdat,,,,,,872 872,2,[872]-[872],??,0,2,0.0,,
H-0070,holdat,,,,,,872,1,[872],SOLO,0,1,0.0,,
H-0071,holdat,,,,,,503,1,am,SOLO,1,0,1.0,,
H-0072,holdat,,,,,,047 047 427 817,4,min/mīn-min/mīn-en-nallavar,IIMM,4,0,1.0,,
H-0073,holdat,,,,,,047 047 427 817,4,min/mīn-min/mīn-en-nallavar,IIMM,4,0,1.0,,
H-0074,holdat,,,,,,047 858 427 047 034 237,6,min/mīn-nallavar-en-min/mīn-tōḷ-ce,IMMIIM,6,0,1.0,,
H-0075,holdat,,,,,,047 427 874 858,4,min/mīn-en-ki-nallavar,IMMM,4,0,1.0,,
H-0076,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0077,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0078,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0079,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0080,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0081,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0082,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0083,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0084,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0085,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0086,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0087,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0088,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0089,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0090,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0091,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0092,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0093,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0094,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0095,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0096,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
