char,code,codepoint,name,romanization,corpus_freq
ሀ,G001,U+1200,Hoy,h,123
ሁ,G002,U+1201,Hoy,h,46
ሂ,G003,U+1202,Hoy,h,34
ሃ,G004,U+1203,Hoy,h,365
ሄ,G005,U+1204,Hoy,h,250
ህ,G006,U+1205,Hoy,h,284
ሆ,G007,U+1206,Hoy,h,147
ለ,G008,U+1208,Läwe,l,1197
ሉ,G009,U+1209,Läwe,l,623
ሊ,G010,U+120A,Läwe,l,205
ላ,G011,U+120B,Läwe,l,752
ሌ,G012,U+120C,Läwe,l,40
ል,G013,U+120D,Läwe,l,1562
ሎ,G014,U+120E,Läwe,l,595
ሐ,G015,U+1210,Ḥäwt,ḥ,119
ሑ,G016,U+1211,Ḥäwt,ḥ,46
ሒ,G017,U+1212,Ḥäwt,ḥ,81
ሓ,G018,U+1213,Ḥäwt,ḥ,549
ሔ,G019,U+1214,Ḥäwt,ḥ,49
ሕ,G020,U+1215,Ḥäwt,ḥ,579
ሖ,G021,U+1216,Ḥäwt,ḥ,24
መ,G022,U+1218,May,m,1103
ሙ,G023,U+1219,May,m,119
ሚ,G024,U+121A,May,m,247
ማ,G025,U+121B,May,m,1530
ሜ,G026,U+121C,May,m,104
ም,G027,U+121D,May,m,3539
ሞ,G028,U+121E,May,m,375
ረ,G029,U+1228,Rəʾs,r,834
ሩ,G030,U+1229,Rəʾs,r,179
ሪ,G031,U+122A,Rəʾs,r,461
ራ,G032,U+122B,Rəʾs,r,622
ሬ,G033,U+122C,Rəʾs,r,63
ር,G034,U+122D,Rəʾs,r,1791
ሮ,G035,U+122E,Rəʾs,r,192
ሰ,G036,U+1230,Sat,s,977
ሱ,G037,U+1231,Sat,s,255
ሲ,G038,U+1232,Sat,s,181
ሳ,G039,U+1233,Sat,s,540
ሴ,G040,U+1234,Sat,s,241
ስ,G041,U+1235,Sat,s,1394
ሶ,G042,U+1236,Sat,s,67
ቀ,G043,U+1240,Ḳaf,ḳ,144
ቁ,G044,U+1241,Ḳaf,ḳ,27
ቂ,G045,U+1242,Ḳaf,ḳ,161
ቃ,G046,U+1243,Ḳaf,ḳ,106
ቄ,G047,U+1244,Ḳaf,ḳ,11
ቅ,G048,U+1245,Ḳaf,ḳ,255
ቆ,G049,U+1246,Ḳaf,ḳ,189
ቋ,G050,U+124B,Ḳaf,ḳ,19
በ,G051,U+1260,Bet,b,1822
ቡ,G052,U+1261,Bet,b,154
ቢ,G053,U+1262,Bet,b,138
ባ,G054,U+1263,Bet,b,587
ቤ,G055,U+1264,Bet,b,174
ብ,G056,U+1265,Bet,b,3623
ቦ,G057,U+1266,Bet,b,403
ተ,G058,U+1270,Täwe,t,1306
ቱ,G059,U+1271,Täwe,t,285
ቲ,G060,U+1272,Täwe,t,1076
ታ,G061,U+1273,Täwe,t,752
ቴ,G062,U+1274,Täwe,t,13
ት,G063,U+1275,Täwe,t,1848
ቶ,G064,U+1276,Täwe,t,337
ነ,G065,U+1290,Nähas,n,1297
ኑ,G066,U+1291,Nähas,n,118
ኒ,G067,U+1292,Nähas,n,215
ና,G068,U+1293,Nähas,n,1011
ኔ,G069,U+1294,Nähas,n,17
ን,G070,U+1295,Nähas,n,5152
ኖ,G071,U+1296,Nähas,n,95
አ,G072,U+12A0,ʼÄlf,ʾ,131
ኡ,G073,U+12A1,ʼÄlf,ʾ,464
ኢ,G074,U+12A2,ʼÄlf,ʾ,441
ኣ,G075,U+12A3,ʼÄlf,ʾ,4922
ኤ,G076,U+12A4,ʼÄlf,ʾ,385
እ,G077,U+12A5,ʼÄlf,ʾ,3341
ኦ,G078,U+12A6,ʼÄlf,ʾ,284
ከ,G079,U+12A8,Kaf,k,1086
ኩ,G080,U+12A9,Kaf,k,276
ኪ,G081,U+12AA,Kaf,k,227
ካ,G082,U+12AB,Kaf,k,763
ኬ,G083,U+12AC,Kaf,k,37
ክ,G084,U+12AD,Kaf,k,448
ኮ,G085,U+12AE,Kaf,k,18
ኳ,G086,U+12B3,Kaf,k,49
ወ,G087,U+12C8,Wäwe,w,857
ዉ,G088,U+12C9,Wäwe,w,114
ዊ,G089,U+12CA,Wäwe,w,98
ዋ,G090,U+12CB,Wäwe,w,339
ዌ,G091,U+12CC,Wäwe,w,8
ው,G092,U+12CD,Wäwe,w,780
ዎ,G093,U+12CE,Wäwe,w,262
ዐ,G094,U+12D0,ʽÄyn,ʽ,74
ዑ,G095,U+12D1,ʽÄyn,ʽ,183
ዒ,G096,U+12D2,ʽÄyn,ʽ,56
ዓ,G097,U+12D3,ʽÄyn,ʽ,677
ዔ,G098,U+12D4,ʽÄyn,ʽ,114
ዕ,G099,U+12D5,ʽÄyn,ʽ,517
ዖ,G100,U+12D6,ʽÄyn,ʽ,36
ዘ,G101,U+12D8,Zäy,z,562
ዙ,G102,U+12D9,Zäy,z,66
ዚ,G103,U+12DA,Zäy,z,740
ዛ,G104,U+12DB,Zäy,z,236
ዜ,G105,U+12DC,Zäy,z,35
ዝ,G106,U+12DD,Zäy,z,655
ዞ,G107,U+12DE,Zäy,z,53
የ,G108,U+12E8,Yämän,y,450
ዩ,G109,U+12E9,Yämän,y,336
ዪ,G110,U+12EA,Yämän,y,33
ያ,G111,U+12EB,Yämän,y,547
ይ,G112,U+12ED,Yämän,y,2184
ዮ,G113,U+12EE,Yämän,y,361
ደ,G114,U+12F0,Dänt,d,902
ዱ,G115,U+12F1,Dänt,d,213
ዲ,G116,U+12F2,Dänt,d,240
ዳ,G117,U+12F3,Dänt,d,300
ዴ,G118,U+12F4,Dänt,d,10
ድ,G119,U+12F5,Dänt,d,2138
ዶ,G120,U+12F6,Dänt,d,177
ገ,G121,U+1308,Gäml,g,760
ጉ,G122,U+1309,Gäml,g,67
ጊ,G123,U+130A,Gäml,g,124
ጋ,G124,U+130B,Gäml,g,118
ጌ,G125,U+130C,Gäml,g,54
ግ,G126,U+130D,Gäml,g,693
ጎ,G127,U+130E,Gäml,g,99
ጓ,G128,U+1313,Gäml,g,139
ጠ,G129,U+1320,Ṭäyt,ṭ,127
