code,char,codepoint,name,romanization,order,row_idx,col_idx,corpus_freq
G001,ሀ,U+1200,Hoy,h,1,0,0,123
G002,ሁ,U+1201,Hoy,h,2,0,1,46
G003,ሂ,U+1202,Hoy,h,3,0,2,34
G004,ሃ,U+1203,Hoy,h,4,0,3,365
G005,ሄ,U+1204,Hoy,h,5,0,4,250
G006,ህ,U+1205,Hoy,h,6,0,5,284
G007,ሆ,U+1206,Hoy,h,7,0,6,147
G008,ለ,U+1208,Läwe,l,1,1,0,1197
G009,ሉ,U+1209,Läwe,l,2,1,1,623
G010,ሊ,U+120A,Läwe,l,3,1,2,205
G011,ላ,U+120B,Läwe,l,4,1,3,752
G012,ሌ,U+120C,Läwe,l,5,1,4,40
G013,ል,U+120D,Läwe,l,6,1,5,1562
G014,ሎ,U+120E,Läwe,l,7,1,6,595
G015,ሐ,U+1210,Ḥäwt,ḥ,1,2,0,119
G016,ሑ,U+1211,Ḥäwt,ḥ,2,2,1,46
G017,ሒ,U+1212,Ḥäwt,ḥ,3,2,2,81
G018,ሓ,U+1213,Ḥäwt,ḥ,4,2,3,549
G019,ሔ,U+1214,Ḥäwt,ḥ,5,2,4,49
G020,ሕ,U+1215,Ḥäwt,ḥ,6,2,5,579
G021,ሖ,U+1216,Ḥäwt,ḥ,7,2,6,24
G022,መ,U+1218,May,m,1,3,0,1103
G023,ሙ,U+1219,May,m,2,3,1,119
G024,ሚ,U+121A,May,m,3,3,2,247
G025,ማ,U+121B,May,m,4,3,3,1530
G026,ሜ,U+121C,May,m,5,3,4,104
G027,ም,U+121D,May,m,6,3,5,3539
G028,ሞ,U+121E,May,m,7,3,6,375
G029,ረ,U+1228,Rəʾs,r,1,5,0,834
G030,ሩ,U+1229,Rəʾs,r,2,5,1,179
G031,ሪ,U+122A,Rəʾs,r,3,5,2,461
G032,ራ,U+122B,Rəʾs,r,4,5,3,622
G033,ሬ,U+122C,Rəʾs,r,5,5,4,63
G034,ር,U+122D,Rəʾs,r,6,5,5,1791
G035,ሮ,U+122E,Rəʾs,r,7,5,6,192
G036,ሰ,U+1230,Sat,s,1,6,0,977
G037,ሱ,U+1231,Sat,s,2,6,1,255
G038,ሲ,U+1232,Sat,s,3,6,2,181
G039,ሳ,U+1233,Sat,s,4,6,3,540
G040,ሴ,U+1234,Sat,s,5,6,4,241
G041,ስ,U+1235,Sat,s,6,6,5,1394
G042,ሶ,U+1236,Sat,s,7,6,6,67
G043,ቀ,U+1240,Ḳaf,ḳ,1,7,0,144
G044,ቁ,U+1241,Ḳaf,ḳ,2,7,1,27
G045,ቂ,U+1242,Ḳaf,ḳ,3,7,2,161
G046,ቃ,U+1243,Ḳaf,ḳ,4,7,3,106
G047,ቄ,U+1244,Ḳaf,ḳ,5,7,4,11
G048,ቅ,U+1245,Ḳaf,ḳ,6,7,5,255
G049,ቆ,U+1246,Ḳaf,ḳ,7,7,6,189
G050,ቋ,U+124B,Ḳaf,ḳ,8,7,7,19
G051,በ,U+1260,Bet,b,1,8,0,1822
G052,ቡ,U+1261,Bet,b,2,8,1,154
G053,ቢ,U+1262,Bet,b,3,8,2,138
G054,ባ,U+1263,Bet,b,4,8,3,587
G055,ቤ,U+1264,Bet,b,5,8,4,174
G056,ብ,U+1265,Bet,b,6,8,5,3623
G057,ቦ,U+1266,Bet,b,7,8,6,403
G058,ተ,U+1270,Täwe,t,1,9,0,1306
G059,ቱ,U+1271,Täwe,t,2,9,1,285
