initial_sign,reading,icon,observed_count,expected_count,chi2,direction
M060,kāṇṭāmirukam,rhinoceros,20,2.04,158.507,enriched
M045,yānai,elephant,24,2.87,155.274,enriched
M016,kaḷiṟu,elephant,23,2.75,148.804,enriched
M067,kōṭṭāṉ,rhinoceros,15,1.53,118.88,enriched
M039,āṉai,elephant,18,2.16,116.456,enriched
M068,maṟi,rhinoceros,13,1.32,103.029,enriched
M062,erutu,zebu,28,5.82,84.573,enriched
M073,kōṉ,zebu,25,5.19,75.512,enriched
M059,ēḷ/eḷ,unicorn,43,13.23,66.943,enriched
M057,māṭu,zebu,18,3.74,54.368,enriched
M267,iN/in (genitive of),unicorn,17,5.23,26.466,enriched
M342,ay/ā,unicorn,12,3.69,18.682,enriched
M066,cōḻ,script only,6,1.32,16.55,enriched
M050,pār,script only,6,1.4,15.031,enriched
M020,kuṉ,geometric,4,1.0,8.964,enriched
